ims_org_id,bed_id,license_beds,census_beds,staffed_beds
INS00004905,5,42,18,42
INS00118636,18,40,30,40
INS00118636,5,40,30,40
INS00109399,18,71,65,71
INS00109399,8,71,65,71
INS00345204,18,240,225,240
INS00345204,8,240,225,240
INS00077228,18,131,131,131
INS00077228,8,131,131,131
INS00609149,18,24,18,24
INS00636500,8,63,55,63
INS00609149,12,24,18,24
INS00636500,18,63,55,63
INS00110505,18,20,12,20
INS00110505,8,20,12,20
INS00114038,8,29,26,29
INS00114038,18,29,26,29
INS00079140,18,150,142,150
INS00079140,8,150,142,150
INS00001461,5,247,165,247
INS00001461,18,292,195,292
INS00001461,4,26,17,26
INS00001461,6,13,9,13
INS00001461,2,6,4,6
INS00119313,12,350,154,180
INS00119313,18,350,154,180
INS00001211,5,111,73,111
INS00001211,18,138,91,138
INS00001211,4,27,18,27
INS00111994,18,240,130,240
INS00111994,8,240,130,240
INS00037045,8,84,55,84
INS00037045,18,84,55,84
INS00112155,18,150,130,150
INS00112155,8,150,130,150
INS00113384,8,180,179,180
INS00113384,18,180,179,180
INS00076460,8,92,87,92
INS00076460,18,92,87,92
INS00527824,18,60,55,60
INS00527824,8,60,55,60
INS00005944,14,65,45,47
INS00005944,6,8,6,8
INS00005944,15,15,12,15
INS00005944,5,257,120,125
INS00005944,4,15,12,15
INS00005944,18,360,195,210
INS00080259,18,50,38,50
INS00080259,8,50,38,50
INS00001090,5,126,43,126
INS00001090,4,19,7,19
INS00001090,18,145,50,145
INS00111674,18,42,40,42
INS00111674,8,42,40,42
INS00113064,8,104,98,104
INS00113064,18,104,98,104
INS00034824,8,88,70,88
INS00034824,18,88,70,88
INS00076406,8,80,78,80
INS00076406,18,80,78,80
INS00000624,4,34,23,30
INS00000624,6,19,13,17
INS00000624,19,24,15,20
INS00000624,5,123,79,106
INS00000624,18,200,130,173
INS00112608,8,150,103,103
INS00112608,18,150,103,103
INS00005105,3,23,11,18
INS00005105,18,287,136,227
INS00005105,4,34,16,27
INS00005105,5,230,109,182
INS00489339,18,49,22,49
INS00489339,5,43,20,43
INS00489339,4,6,2,6
INS00036755,8,62,48,62
INS00036755,18,62,48,62
INS00405290,18,29,22,22
INS00457133,18,70,40,70
INS00457133,12,70,40,70
INS00405290,5,29,22,22
INS00078850,18,99,95,99
INS00078850,8,99,95,99
INS00059654,18,80,70,80
INS00034504,18,120,112,120
INS00059654,16,74,65,74
INS00059654,5,6,5,6
INS00034504,8,120,112,120
INS00112928,8,120,116,120
INS00112928,18,120,116,120
INS00106692,18,80,63,80
INS00106692,4,8,6,8
INS00106692,5,72,57,72
INS00076901,18,124,71,124
INS00076901,8,124,71,124
INS00076587,18,45,44,45
INS00076587,8,45,44,45
INS00003304,18,36,36,36
INS00003304,5,36,36,36
INS00006779,5,100,45,100
INS00006779,18,110,50,110
INS00006779,4,10,5,10
INS00037365,18,95,72,95
INS00037365,8,95,72,95
INS00345129,8,159,140,159
INS00345129,18,159,140,159
INS00078714,18,140,110,140
INS00078714,8,140,110,140
INS00007389,18,240,230,240
INS00007389,8,240,230,240
INS00109486,8,152,135,152
INS00109486,18,152,135,152
INS00001830,5,190,102,190
INS00001830,18,224,120,224
INS00001830,4,15,8,15
INS00001830,6,19,10,19
INS00036788,8,24,20,24
INS00036788,18,24,20,24
INS00038589,18,86,74,86
INS00038589,8,86,74,86
INS00079871,18,145,138,145
INS00079871,8,145,138,145
INS00039465,8,130,93,130
INS00039465,18,130,93,130
INS00011414,18,143,112,143
INS00011414,14,143,112,143
INS00491834,18,68,57,68
INS00491834,8,68,57,68
INS00035054,18,72,61,72
INS00001036,18,253,170,253
INS00001036,4,12,8,12
INS00001036,5,227,153,227
INS00035054,8,72,61,72
INS00001036,2,14,9,14
INS00080603,18,120,90,120
INS00080603,8,120,90,120
INS00590095,18,41,36,41
INS00590095,5,41,36,41
INS00345349,12,67,50,67
INS00345349,18,67,50,67
INS00001510,18,120,50,108
INS00001510,5,111,46,100
INS00001510,4,9,4,8
INS00112774,8,129,124,129
INS00112774,18,129,124,129
INS00114729,18,128,123,128
INS00006652,18,299,299,299
INS00006652,9,177,177,177
INS00006652,8,42,42,42
INS00114729,8,128,123,128
INS00006652,5,42,42,42
INS00006652,12,11,11,11
INS00006652,14,27,27,27
INS00112662,8,36,28,36
INS00112662,18,36,28,36
INS00115898,18,46,46,46
INS00115898,8,46,46,46
INS00039785,18,82,77,82
INS00039785,8,82,77,82
INS00506194,18,60,35,60
INS00078630,18,200,120,200
INS00078630,8,200,120,200
INS00506194,5,60,35,60
INS00035710,8,200,198,200
INS00035710,18,200,198,200
INS00005585,5,90,52,90
INS00005585,16,27,16,27
INS00005585,18,125,73,125
INS00005585,4,8,5,8
INS00006432,18,15,7,15
INS00006432,8,2,1,2
INS00006432,5,13,6,13
INS00039094,18,61,58,61
INS00039094,8,61,58,61
INS00078331,18,197,172,197
INS00078331,8,197,172,197
INS00494279,18,300,296,300
INS00494279,8,300,296,300
INS00494185,18,25,20,25
INS00494185,8,25,20,25
INS00074083,12,319,175,319
INS00074083,18,319,175,319
INS00080232,8,82,65,82
INS00080232,18,82,65,82
INS00037984,8,140,90,140
INS00036468,8,120,110,120
INS00036468,18,120,110,120
INS00037984,18,140,90,140
INS00039879,18,99,95,99
INS00039879,8,99,95,99
INS00002939,18,101,80,90
INS00002939,2,6,4,5
INS00002939,5,95,76,85
INS00005869,5,68,38,68
INS00005869,4,8,4,8
INS00005869,18,90,50,90
INS00005869,16,14,8,14
INS00035006,18,95,77,90
INS00077101,18,45,45,45
INS00011465,18,72,49,72
INS00035006,8,95,77,90
INS00011465,16,24,16,24
INS00077101,8,45,45,45
INS00011465,14,48,33,48
INS00075300,8,152,120,152
INS00110297,8,79,70,79
INS00075300,18,152,120,152
INS00110297,18,79,70,79
INS00649268,14,40,40,40
INS00649268,18,40,40,40
INS00076053,18,49,43,49
INS00076053,8,49,43,49
INS00078904,8,50,43,50
INS00078904,18,50,43,50
INS00037948,8,170,161,161
INS00037948,18,170,161,161
INS00035326,18,88,88,88
INS00035326,8,88,88,88
INS00035187,18,171,163,171
INS00035187,8,171,163,171
INS00111327,8,102,60,102
INS00111327,18,102,60,102
INS00040070,8,89,87,89
INS00040070,18,89,87,89
INS00037109,18,123,112,123
INS00037109,8,123,112,123
INS00002637,5,227,127,132
INS00002637,18,252,145,155
INS00002637,4,25,18,23
INS00078765,8,35,25,35
INS00074403,8,59,49,59
INS00078765,18,35,25,35
INS00074403,18,59,49,59
INS00001346,14,282,206,206
INS00001346,18,282,206,206
INS00079234,18,94,88,94
INS00079234,8,94,88,94
INS00003147,4,20,12,18
INS00003147,5,157,98,142
INS00002018,4,25,15,25
INS00003147,18,177,110,160
INS00002018,5,346,205,346
INS00002018,18,371,220,371
INS00079095,8,75,70,75
INS00079095,18,75,70,75
INS00075711,18,102,90,102
INS00075711,8,102,90,102
INS00265988,18,96,82,96
INS00265988,12,96,82,96
INS00039529,8,50,39,50
INS00039529,18,50,39,50
INS00040390,18,96,86,96
INS00040390,8,96,86,96
INS00062380,8,90,74,90
INS00062380,18,90,74,90
INS00036079,8,106,60,106
INS00036079,18,106,60,106
INS00111738,8,49,40,49
INS00005317,18,25,15,25
INS00111738,18,49,40,49
INS00005317,5,25,15,25
INS00069966,8,215,117,215
INS00069966,18,215,117,215
INS00004329,5,12,5,12
INS00004329,18,12,5,12
INS00078445,8,160,156,160
INS00078445,18,160,156,160
INS00074723,8,138,132,138
INS00005178,18,95,30,95
INS00074723,18,138,132,138
INS00111599,18,108,81,108
INS00076454,8,60,54,60
INS00076454,18,60,54,60
INS00111599,8,108,81,108
INS00005178,5,88,28,88
INS00005178,4,7,2,7
INS00074252,18,114,110,114
INS00074252,8,114,110,114
INS00002199,5,163,71,163
INS00034716,8,90,86,90
INS00002199,18,196,85,196
INS00002199,16,33,14,33
INS00034716,18,90,86,90
INS00005549,4,16,7,11
INS00005549,5,133,58,89
INS00005549,18,149,65,100
INS00261764,18,24,21,24
INS00261764,5,24,21,24
INS00034577,18,121,115,121
INS00034577,8,121,115,121
INS00039749,18,60,58,60
INS00039749,8,60,58,60
INS00005196,10,16,15,15
INS00005196,19,25,23,23
INS00005196,18,570,529,529
INS00005196,5,390,362,362
INS00005196,4,72,67,67
INS00005196,6,56,52,52
INS00005196,1,11,10,10
INS00111418,18,145,140,145
INS00111418,8,145,140,145
INS00077940,8,60,40,60
INS00077940,18,60,40,60
INS00000836,18,49,22,45
INS00000836,5,43,19,39
INS00000836,4,6,3,6
INS00111846,8,90,90,90
INS00111846,18,90,90,90
INS00112518,8,45,39,45
INS00112518,18,45,39,45
INS00646555,5,352,342,352
INS00646555,18,352,342,352
INS00109891,18,120,118,120
INS00109891,8,120,118,120
INS00003075,5,80,20,35
INS00004027,18,25,5,25
INS00004027,5,25,5,25
INS00003075,18,80,20,35
INS00078382,8,148,125,148
INS00034969,8,130,101,130
INS00034969,18,130,101,130
INS00078382,18,148,125,148
INS00077720,18,42,38,42
INS00077720,8,42,38,42
INS00037275,18,116,95,116
INS00077804,18,120,63,90
INS00037275,8,116,95,116
INS00077804,8,120,63,90
INS00035625,8,141,131,141
INS00037426,18,189,170,189
INS00035625,18,141,131,141
INS00037426,8,189,170,189
INS00035845,18,106,98,106
INS00035845,8,106,98,106
INS00078394,8,120,119,120
INS00113427,18,120,82,120
INS00113427,8,120,82,120
INS00078394,18,120,119,120
INS00108954,18,112,80,112
INS00108954,8,112,80,112
INS00038209,8,102,37,102
INS00527969,8,60,56,60
INS00527969,18,60,56,60
INS00038209,18,102,37,102
INS00035598,18,110,94,110
INS00035598,8,110,94,110
INS00003395,16,23,9,18
INS00003395,5,8,2,6
INS00040761,18,184,170,184
INS00040761,8,184,170,184
INS00003395,18,31,11,24
INS00053243,18,102,70,102
INS00111958,18,113,101,113
INS00111958,8,113,101,113
INS00053243,8,102,70,102
INS00001645,2,2,1,2
INS00520501,12,54,48,54
INS00001645,10,3,2,3
INS00001645,4,14,8,14
INS00001645,5,82,50,82
INS00001645,6,13,8,13
INS00520501,18,54,48,54
INS00001645,15,4,2,4
INS00001645,18,118,71,118
INS00109571,18,99,85,99
INS00109571,8,99,85,99
INS00059485,5,138,106,114
INS00059485,18,144,110,120
INS00059485,4,6,4,6
INS00036106,18,115,112,112
INS00034595,18,158,150,158
INS00036106,8,115,112,112
INS00034595,8,158,150,158
INS00111544,18,166,150,156
INS00111544,8,166,150,156
INS00262958,18,30,30,30
INS00112107,18,99,82,99
INS00262958,12,30,30,30
INS00112107,8,99,82,99
INS00524299,12,69,69,69
INS00108816,18,94,52,94
INS00108816,8,94,52,94
INS00646781,18,187,108,187
INS00646781,8,187,108,187
INS00002812,4,11,7,11
INS00002812,5,43,28,43
INS00002812,18,54,35,54
INS00116448,5,120,34,34
INS00116448,16,42,12,12
INS00116448,18,177,50,50
INS00116448,4,15,4,4
INS00107595,12,40,35,40
INS00107595,18,40,35,40
INS00005522,16,19,16,16
INS00005522,18,44,36,36
INS00005522,5,25,20,20
INS00033990,8,120,95,120
INS00033990,18,120,95,120
INS00442563,8,101,92,101
INS00442563,18,101,92,101
INS00035791,8,122,115,122
INS00485015,12,23,17,23
INS00035791,18,122,115,122
INS00564838,8,80,77,80
INS00564838,18,80,77,80
INS00485015,18,23,17,23
INS00074817,18,67,64,67
INS00074817,8,67,64,67
INS00472132,18,4,4,4
INS00472132,20,4,4,4
INS00005223,18,366,60,85
INS00005223,4,78,13,18
INS00572993,18,116,82,116
INS00572993,8,116,82,116
INS00005223,5,288,47,67
INS00109945,18,100,70,100
INS00109945,8,100,70,100
INS00040635,18,88,85,88
INS00040635,8,88,85,88
INS00113620,8,55,30,55
INS00113620,18,55,30,55
INS00003941,5,30,28,30
INS00003941,18,30,28,30
INS00004202,18,55,25,48
INS00004202,4,6,3,5
INS00004202,5,49,22,43
INS00035471,8,112,105,112
INS00035471,18,112,105,112
INS00001591,16,32,20,32
INS00001591,5,36,23,36
INS00001591,4,11,7,11
INS00001591,18,79,50,79
INS00037921,18,115,90,115
INS00114883,8,130,121,130
INS00114883,18,130,121,130
INS00037921,8,115,90,115
INS00035060,8,90,82,90
INS00035060,18,90,82,90
INS00548772,8,64,58,64
INS00548772,18,64,58,64
INS00109725,18,59,47,59
INS00109725,8,59,47,59
INS00527842,18,60,34,60
INS00527842,8,60,34,60
INS00039115,8,125,115,125
INS00039115,18,125,115,125
INS00076319,8,103,100,103
INS00076319,18,103,100,103
INS00112300,18,124,120,124
INS00112300,8,124,120,124
INS00037230,18,85,72,85
INS00004613,18,48,34,48
INS00004613,6,16,13,16
INS00037230,8,85,72,85
INS00004613,10,8,6,8
INS00004613,5,24,15,24
INS00037884,18,130,90,130
INS00037884,8,130,90,130
INS00077376,18,80,68,80
INS00077376,8,80,68,80
INS00079177,5,190,162,190
INS00079177,8,201,162,201
INS00079177,18,391,324,391
INS00115668,18,702,559,595
INS00001389,18,119,75,75
INS00115668,6,67,54,57
INS00115668,4,73,58,62
INS00001389,6,23,14,14
INS00115668,2,27,22,23
INS00115668,5,518,411,438
INS00115668,16,17,14,15
INS00001389,4,6,4,4
INS00001389,5,90,57,57
INS00080250,8,60,54,60
INS00080250,18,60,54,60
INS00000962,5,276,152,167
INS00000962,18,289,160,180
INS00000962,4,13,8,13
INS00114539,18,186,150,186
INS00114539,8,186,150,186
INS00110034,8,74,73,74
INS00110034,18,74,73,74
INS00112460,8,99,84,99
INS00112460,18,99,84,99
INS00001208,5,286,173,286
INS00001208,16,31,19,31
INS00001208,18,384,232,384
INS00001208,4,37,22,37
INS00001208,6,30,18,30
INS00034634,8,58,57,58
INS00034634,18,58,57,58
INS00039296,8,207,163,207
INS00039296,18,207,163,207
INS00112656,18,124,100,124
INS00112656,8,124,100,124
INS00038127,8,60,54,60
INS00037866,18,98,77,98
INS00038127,18,60,54,60
INS00037866,8,98,77,98
INS00038538,8,118,112,118
INS00572929,18,120,110,120
INS00038538,18,118,112,118
INS00572929,5,120,110,120
INS00634536,5,207,0,207
INS00001619,5,41,23,27
INS00001619,18,102,55,67
INS00001619,16,57,30,37
INS00634536,18,207,0,207
INS00001619,4,4,2,3
INS00079421,18,92,52,92
INS00079421,8,92,52,92
INS00006450,5,77,53,77
INS00006450,4,11,7,11
INS00036655,18,190,165,190
INS00036655,8,190,165,190
INS00006450,18,88,60,88
INS00038330,18,200,195,200
INS00038330,8,200,195,200
INS00541862,16,70,60,70
INS00541862,18,70,60,70
INS00036244,18,128,121,128
INS00036244,8,128,121,128
INS00034483,8,126,125,126
INS00034483,18,126,125,126
INS00082534,8,83,81,83
INS00082534,18,83,81,83
INS00076618,8,84,80,84
INS00076618,18,84,80,84
INS00601949,18,36,18,20
INS00601949,12,36,18,20
INS00075946,18,120,66,120
INS00075946,8,120,66,120
INS00077747,8,60,55,60
INS00077747,18,60,55,60
INS00266686,18,18,16,18
INS00266686,12,18,16,18
INS00553121,5,12,4,12
INS00553121,18,12,4,12
INS00036737,18,60,56,60
INS00036737,8,60,56,60
INS00006706,18,150,80,127
INS00006706,4,42,23,36
INS00006706,5,108,57,91
INS00079961,18,85,82,85
INS00079961,8,85,82,85
INS00113266,8,140,132,140
INS00113266,18,140,132,140
INS00003833,18,25,8,25
INS00003833,5,25,8,25
INS00081506,18,120,60,120
INS00081506,8,120,60,120
INS00078627,18,75,60,75
INS00078627,8,75,60,75
INS00112273,8,101,83,101
INS00112273,18,101,83,101
INS00003204,12,86,55,86
INS00003204,18,86,55,86
INS00111611,18,72,60,72
INS00111611,8,72,60,72
INS00005670,5,205,171,205
INS00005670,18,234,192,234
INS00005670,4,29,21,29
INS00035244,8,120,107,120
INS00035244,18,120,107,120
INS00075161,8,40,40,40
INS00075161,18,40,40,40
INS00113366,18,120,110,120
INS00113366,8,120,110,120
INS00001044,4,43,34,40
INS00001044,16,36,28,33
INS00078747,8,100,92,100
INS00078747,18,100,92,100
INS00001044,5,289,228,267
INS00001044,18,368,290,340
INS00112098,8,52,48,52
INS00112098,18,52,48,52
INS00000999,16,36,17,36
INS00000999,18,49,23,49
INS00000999,4,2,1,2
INS00000999,5,11,5,11
INS00113348,8,148,132,148
INS00113348,18,148,132,148
INS00001072,18,272,232,272
INS00001072,15,12,10,12
INS00001072,2,9,8,9
INS00001072,6,33,28,33
INS00001072,5,218,186,218
INS00111309,18,159,140,159
INS00111309,8,159,140,159
INS00038858,8,101,85,101
INS00079835,8,171,165,171
INS00038858,18,101,85,101
INS00079835,18,171,165,171
INS00078527,8,200,195,200
INS00078527,18,200,195,200
INS00113046,8,55,31,55
INS00113046,18,55,31,55
INS00110116,8,84,65,84
INS00079222,18,171,155,171
INS00079222,8,171,155,171
INS00110116,18,84,65,84
INS00001364,18,112,86,112
INS00001364,5,98,75,98
INS00001364,4,14,11,14
INS00491849,8,69,68,69
INS00491849,18,69,68,69
INS00004978,5,25,15,25
INS00004978,18,25,15,25
INS00599663,8,112,86,112
INS00599663,18,112,86,112
INS00103598,5,14,6,14
INS00103598,18,14,6,14
INS00077883,18,100,70,100
INS00077883,8,100,70,100
INS00036218,18,122,110,122
INS00036218,8,122,110,122
INS00142134,8,42,40,42
INS00142134,18,42,40,42
INS00076442,18,97,88,97
INS00076442,8,97,88,97
INS00111976,18,120,118,120
INS00111976,8,120,118,120
INS00005706,5,48,34,40
INS00005706,18,103,71,85
INS00005706,16,49,33,40
INS00005706,4,6,4,5
INS00078612,18,80,79,80
INS00078612,8,80,79,80
INS00505514,16,66,62,66
INS00505514,18,66,62,66
INS00001289,18,208,153,162
INS00001289,5,78,57,61
INS00001289,16,121,89,94
INS00001289,4,9,7,7
INS00034559,18,133,121,121
INS00034559,8,133,121,121
INS00006368,4,81,62,76
INS00006368,18,356,270,330
INS00006368,5,275,208,254
INS00544675,18,16,12,16
INS00544675,12,16,12,16
INS00637316,5,300,280,300
INS00637316,18,300,280,300
INS00077563,8,94,92,94
INS00077563,18,94,92,94
INS00076762,18,42,35,42
INS00076762,8,42,35,42
INS00109553,18,69,55,69
INS00074415,8,54,36,39
INS00109553,8,69,55,69
INS00074415,18,54,36,39
INS00111656,8,26,26,26
INS00111656,18,26,26,26
INS00037538,18,44,40,44
INS00037538,8,44,40,44
INS00006048,18,25,3,25
INS00006048,16,19,2,19
INS00006048,5,6,1,6
INS00078932,18,100,98,100
INS00078089,8,50,49,50
INS00078932,8,100,98,100
INS00078089,18,50,49,50
INS00076210,18,25,22,25
INS00076210,8,25,22,25
INS00001812,16,5,4,5
INS00001812,18,25,20,25
INS00001812,5,20,16,20
INS00000697,5,377,220,308
INS00000697,18,428,250,350
INS00000697,2,51,30,42
INS00035169,8,83,72,83
INS00035169,18,83,72,83
INS00112756,18,124,119,124
INS00112756,8,124,119,124
INS00002588,5,196,98,196
INS00002588,4,29,14,29
INS00002588,3,75,38,75
INS00002588,18,300,150,300
INS00037257,18,30,26,30
INS00037257,8,30,26,30
INS00614256,14,50,40,50
INS00614256,18,50,40,50
INS00003558,5,222,107,222
INS00003558,18,250,120,250
INS00003558,4,28,13,28
INS00037664,8,68,66,68
INS00037664,18,68,66,68
INS00037758,18,134,127,134
INS00037758,8,134,127,134
INS00079397,8,108,80,108
INS00108942,8,121,110,121
INS00108942,18,121,110,121
INS00079397,18,108,80,108
INS00001425,5,436,218,436
INS00002144,4,16,12,16
INS00002144,5,140,101,140
INS00002144,18,263,190,263
INS00002144,16,107,77,107
INS00001425,4,64,32,64
INS00001425,18,500,250,500
INS00039076,18,108,76,108
INS00039076,8,108,76,108
INS00112536,8,184,95,184
INS00112536,18,184,95,184
INS00079285,8,96,80,96
INS00079285,18,96,80,96
INS00001407,4,32,19,32
INS00001407,18,219,128,219
INS00001407,5,187,109,187
INS00003878,5,64,50,64
INS00003878,18,64,50,64
INS00040523,18,35,35,35
INS00040523,8,35,35,35
INS00037037,18,196,184,196
INS00037037,8,196,184,196
INS00035607,18,60,58,60
INS00035607,8,60,58,60
INS00036344,18,130,123,130
INS00075901,18,144,127,144
INS00075901,8,144,127,144
INS00036344,8,130,123,130
INS00003464,18,215,180,215
INS00003464,4,16,13,16
INS00003464,5,199,167,199
INS00116403,5,65,40,65
INS00116403,18,65,40,65
INS00074122,18,425,400,425
INS00074122,12,425,400,425
INS00115216,18,35,23,31
INS00115216,5,30,19,26
INS00115216,16,1,1,1
INS00115216,4,4,3,4
INS00037966,18,200,184,200
INS00037966,8,200,184,200
INS00038638,18,76,50,76
INS00038638,8,76,50,76
INS00001727,5,140,65,140
INS00001727,4,8,4,8
INS00001727,18,148,69,148
INS00006806,18,433,280,359
INS00006806,4,39,26,33
INS00006806,5,380,245,314
INS00006806,2,14,9,12
INS00035927,18,144,140,144
INS00035927,8,144,140,144
INS00111892,8,48,45,48
INS00114750,8,47,38,47
INS00114750,18,47,38,47
INS00610482,5,39,0,20
INS00610482,2,24,0,12
INS00610482,18,63,0,32
INS00035423,18,180,150,180
INS00035423,8,180,150,180
INS00006797,18,150,124,150
INS00006797,4,12,10,12
INS00006797,5,138,114,138
INS00004996,18,833,691,833
INS00004996,4,81,67,81
INS00004996,2,18,15,18
INS00004996,6,76,63,76
INS00004996,5,658,546,658
INS00080277,18,120,56,120
INS00080277,8,120,56,120
INS00079678,18,116,88,116
INS00079678,8,116,88,116
INS00078829,8,194,181,194
INS00078829,18,194,181,194
INS00483293,18,38,20,38
INS00483293,5,38,20,38
INS00036236,18,146,115,146
INS00036236,8,146,115,146
INS00035643,8,172,128,172
INS00035643,18,172,128,172
INS00074925,18,140,118,140
INS00113457,8,160,130,160
INS00113457,18,160,130,160
INS00074925,8,140,118,140
INS00112487,18,91,85,91
INS00112487,8,91,85,91
INS00000679,7,10,2,10
INS00000679,5,13,3,13
INS00000679,18,23,5,23
INS00037073,18,70,55,70
INS00037073,8,70,55,70
INS00006477,18,119,119,119
INS00006241,4,36,15,16
INS00006477,1,5,5,5
INS00006477,15,10,10,10
INS00006477,5,88,88,88
INS00006477,2,3,3,3
INS00006477,6,13,13,13
INS00006241,5,318,127,135
INS00006241,18,354,142,151
INS00001443,4,22,14,22
INS00001443,18,176,110,176
INS00001443,5,154,96,154
INS00003193,18,25,15,15
INS00003193,5,25,15,15
INS00011378,18,68,60,68
INS00011378,12,68,60,68
INS00003332,16,22,8,22
INS00003332,5,14,5,14
INS00003332,18,36,13,36
INS00038511,8,164,156,164
INS00038511,18,164,156,164
INS00494306,8,160,155,160
INS00494306,18,160,155,160
INS00039166,8,119,112,119
INS00039166,18,119,112,119
INS00038257,8,155,147,155
INS00109154,18,99,75,99
INS00109154,8,99,75,99
INS00038257,18,155,147,155
INS00037456,8,100,80,100
INS00037456,18,100,80,100
INS00006386,18,229,97,222
INS00006386,4,26,11,26
INS00006386,6,12,5,11
INS00006386,5,191,81,185
INS00039906,18,105,96,105
INS00039906,8,105,96,105
INS00114877,18,160,140,160
INS00037776,8,32,30,32
INS00003139,5,116,82,116
INS00003139,18,140,98,140
INS00003139,4,12,8,12
INS00114877,8,160,140,160
INS00037776,18,32,30,32
INS00003139,6,12,8,12
INS00033842,8,54,40,54
INS00033842,18,54,40,54
INS00080751,8,65,60,65
INS00080751,18,65,60,65
INS00079998,18,103,100,103
INS00079998,8,103,100,103
INS00075774,18,164,139,164
INS00075774,8,164,139,164
INS00002863,4,3,1,3
INS00002863,16,88,41,88
INS00077038,8,100,89,100
INS00002863,18,152,70,152
INS00077038,18,100,89,100
INS00002863,5,61,28,61
INS00004293,5,60,23,60
