ims_org_id,business_name,ttl_license_beds,ttl_census_beds,ttl_staffed_beds,bed_cluster_id
INS00000567,Skyline Madison Campus,110,85,110,1
INS00000569,Southwest Volusia Healthcare Corporation,139,100,139,1
INS00000570,Adventist La Grange Memorial Hospital,205,149,205,2
INS00000571,Adventist Hinsdale Hospital,358,203,358,3
INS00000572,Adventist GlenOaks Hospital,146,74,116,1
INS00000573,Chippewa Valley Hospital,25,10,25,1
INS00000574,Baton Rouge General Medical Center,343,200,250,2
INS00000575,Baton Rouge General Medical Center,201,85,201,1
INS00000576,Florida Hospital Celebration Health,182,120,182,2
INS00000577,"RML Health Providers, LP",85,50,60,1
INS00000578,Advocate Christ Medical Center,690,575,625,6
INS00000579,Advocate Good Samaritan Hospital,330,217,274,3
INS00000580,Advocate Good Shepherd Hospital,183,143,183,2
INS00000581,Advocate Lutheran General Hospital,638,336,638,4
INS00000583,Advocate South Suburban Hospital,284,200,284,2
INS00000584,Advocate Trinity Hospital,250,147,188,2
INS00000585,Mercy Medical Center,157,98,157,1
INS00000586,Saint Elizabeth Hospital,332,94,166,1
INS00000587,Calumet Medical Center,25,8,25,1
INS00000588,Elmendorf AFB Medical Facility,74,74,74,1
INS00000590,David Grant USAF Medical Center,65,65,65,1
INS00000593,96th Medical Group,53,22,53,1
INS00000594,366th Medical Group,10,4,10,1
INS00000595,Malcolm Grow Medical Center,18,18,18,1
INS00000596,Keesler Medical Center 81st Medical Group,66,35,66,1
INS00000597,Mike OCallaghan Federal Hospital,104,59,59,1
INS00000599,Wright-Patterson AFB Medical Center,60,27,60,1
INS00000607,USAF Hospital Langley,35,22,35,1
INS00000611,Albany Medical Center Hospital,651,575,617,6
INS00000613,Franciscan Care Services,25,12,25,1
INS00000614,Alegent Health Midlands Hospital,121,65,80,1
INS00000615,Alegent Health Immanuel Medical Center,356,230,356,3
INS00000616,Alegent Health Mercy Hospital Council Bluffs,284,115,284,2
INS00000617,Alegent Health Memorial Hospital Schuyler,25,6,25,1
INS00000618,Alegent Health Bergan Mercy Medical Center,400,230,300,3
INS00000619,Alegent Health Mercy Corning Hospital,22,10,22,1
INS00000620,Alegent Health Community Memorial Hospital,25,10,25,1
INS00000621,Cozad Community Hospital,21,8,21,1
INS00000622,Saint Alexius Medical Center,334,200,220,2
INS00000623,Alexian Brothers Medical Center,387,339,387,4
INS00000624,Nemours Alfred I duPont Hospital for Children,200,130,173,2
INS00000625,Abbott Northwestern Hospital,952,550,627,6
INS00000626,Buffalo Hospital,65,20,34,1
INS00000627,Cambridge Medical Center,86,44,78,1
INS00000628,Mercy Hospital,271,210,220,3
INS00000629,New Ulm Medical Center,62,20,35,1
INS00000630,Owatonna Hospital,77,35,77,1
INS00000631,Phillips Eye Institute,20,8,10,1
INS00000632,Saint Francis Regional Medical Center,93,50,93,1
INS00000633,United Hospital,546,400,482,4
INS00000634,Unity Hospital,275,200,220,2
INS00000635,Granite Falls Municipal Hospital and Manor,30,8,8,1
INS00000636,Hutchinson Area Health Care,66,29,66,1
INS00000637,Mille Lacs Health System,28,10,28,1
INS00000638,Northfield Hospital,37,20,37,1
INS00000639,Stevens Community Medical Center,25,13,25,1
INS00000640,United Hospital District,25,11,21,1
INS00000641,River Falls Area Hospital,25,15,25,1
INS00000642,Rivers Edge Hospital and Clinic,17,6,17,1
INS00000643,Wheaton Franciscan Mental and Addiction Center,189,146,146,2
INS00000644,Wheaton Franciscan Healthcare All Saints,314,220,314,3
INS00000645,"Alta Los Angeles Hospital, Inc",180,95,130,1
INS00000646,"Alta Los Angeles Hospital, Inc",130,38,60,1
INS00000648,Hollywood Community Hospital of Hollywood,100,65,100,1
INS00000651,Ochsner Health System,564,406,530,5
INS00000652,Saints Mary and Elizabeth Medical Center,108,85,90,1
INS00000654,Community Hospital of Bremen,25,10,25,1
INS00000655,"Saint Catherine Hospital, Inc",290,138,200,2
INS00000657,"Saint Mary Medical Center, Inc",190,140,190,2
INS00000658,Beckley ARH Hospital,173,132,173,2
INS00000659,Harlan ARH Hospital,150,90,110,1
INS00000660,Hazard ARH Regional Medical Center,308,160,308,2
INS00000661,McDowell ARH Hospital,25,10,25,1
INS00000663,Middlesboro ARH Hospital,96,62,96,1
INS00000664,Morgan County ARH Hospital,25,8,25,1
INS00000665,Summers County ARH Hospital,25,12,25,1
INS00000666,Whitesburg ARH Hospital,90,50,67,1
INS00000667,Williamson ARH Hospital,164,85,164,1
INS00000669,Martin Army Community Hospital,250,125,250,2
INS00000671,Womack Army Medical Center,159,100,156,1
INS00000672,William Beaumont Army Medical Center,119,70,119,1
INS00000673,Carl R Darnall Army Medical Center,134,80,121,1
INS00000674,Reynolds Army Community Hospital,86,17,86,1
INS00000675,Bayne Jones Army Community Hospital,44,36,44,1
INS00000676,Ireland Army Community Hospital,32,15,32,1
INS00000677,General Leonard Wood Army Community Hospital,75,62,75,1
INS00000678,Evans Army Community Hospital,76,41,50,1
INS00000679,Bassett Army Community Hospital,23,5,23,1
INS00000680,Irwin Army Community Hospital,44,25,44,1
INS00000681,Keller Army Community Hospital,35,12,35,1
INS00000682,Winn Army Community Hospital,112,50,112,1
INS00000684,Blanchfield Army Community Hospital,68,51,68,1
INS00000686,Moncrief Army Community Hospital,170,25,60,1
INS00000687,San Antonio Military Medical Center,250,125,250,2
INS00000688,Dwight D Eisenhower Army Medical Center,120,60,120,1
INS00000689,Madigan Army Medical Center,243,150,243,2
INS00000690,Tripler Army Medical Center,80,80,80,1
INS00000691,Weed Army Community Hospital,27,2,27,1
INS00000693,Saint Joseph Health System,49,33,49,1
INS00000694,Saint John River District Hospital,68,45,68,1
INS00000695,Saint John Hospital and Medical Center,772,480,680,5
INS00000696,"Borgess Healthcare System, Inc",25,15,25,1
INS00000697,Borgess Health System,428,250,350,3
INS00000698,Saint John Macomb-Oakland Hospital,196,125,159,2
INS00000701,Saint Vincent Randolph Hospital,25,10,10,1
INS00000702,Saint Vincents Birmingham,372,320,372,4
INS00000703,Providence Hospital,349,255,349,3
INS00000704,Saint Vincents Medical Center,473,290,319,3
INS00000705,Providence Hospital,408,310,313,4
INS00000706,Sacred Heart Health System,466,388,466,4
INS00000707,"Saint Marys Warrick Hospital, Inc",25,20,25,1
INS00000708,Saint Vincent Carmel Hospital,124,80,124,1
INS00000709,"Saint Vincent Madison County Health System, Inc",25,16,20,1
INS00000710,Saint Marys Medical Center of Evansville,500,298,456,3
INS00000711,"Saint Vincent Hospital and Healthcare Centers, Inc",669,510,669,6
INS00000712,"Saint Joseph Hospital and Health Center, Inc",167,120,137,2
INS00000713,Saint Agnes Health Care,302,232,302,3
INS00000714,Saint Marys of Michigan,268,214,220,3
INS00000715,Providence Hospital,459,350,459,4
INS00000716,Our Lady of Lourdes Memorial Hospital,267,130,150,2
INS00000717,Unity Living Center,120,115,120,2
INS00000718,Seton Health System,196,145,196,2
INS00000719,Schuylkill Medical Center East Norwegian Street,128,128,128,2
INS00000720,Saint Thomas Hospital,541,460,460,5
INS00000721,Seton Medical Center Austin,474,320,407,4
INS00000722,Providence Health Center,241,115,241,2
INS00000723,Womens Hospital,99,69,99,1
INS00000724,"Columbia Saint Marys Hospital Ozaukee, Inc",82,75,82,1
INS00000725,Sacred Heart Hospital,196,95,196,1
INS00000726,Saint Joseph Hospital,354,213,217,3
INS00000728,Saint Anthony Hospital,184,104,184,2
INS00000730,"Saint John Macomb Oakland Hospital, Macomb Center",376,318,355,4
INS00000731,"Southern Baptist Hospital of Florida, Inc",619,406,619,5
INS00000732,Saint Vincents Medical Center,528,512,528,6
INS00000733,"Southern Baptist Hospital of Florida, Inc",162,70,162,1
INS00000734,Baptist Medical Center Beaches,146,120,146,2
INS00000735,Baptist Medical Center,54,25,54,1
INS00000736,Seton Highland Lakes Hospital,25,18,25,1
INS00000737,Mount Saint Marys Hospital,175,120,175,2
INS00000738,University Medical Center at Brackenridge,359,190,250,2
INS00000739,Port Huron Hospital,186,122,186,2
INS00000740,"Borgess HealthCare System, Inc",43,17,28,1
INS00000741,Hillsdale Community Health Center,86,50,86,1
INS00000742,Genesys Regional Medical Center Health Park,410,309,410,4
INS00000743,"Little Company of Mary Hospital of Indiana, Inc",131,85,124,1
INS00000744,Unity Hospital of Rochester,267,230,267,3
INS00000745,Saints Mary and Elizabeth Medical Center,387,278,295,3
INS00000746,Saint Vincent Williamsport Hospital,16,9,16,1
INS00000747,Seton Northwest Hospital,124,96,100,1
INS00000748,Dell Childrens Medical Center of Central Texas,171,75,110,1
INS00000749,Carelink of Jackson,64,40,64,1
INS00000750,Harrisburg Medical Center,86,30,75,1
INS00000752,Seton Edgar B Davis Hospital,25,18,25,1
INS00000753,Pontiac Osteopathic Hospital,328,105,134,2
INS00000754,Morristown Medical Center,603,446,493,5
INS00000755,Mountainside Hospital,365,177,185,2
INS00000757,Overlook Hospital,508,306,350,4
INS00000758,Newton Medical Center,148,110,148,2
INS00000759,Bayonne Medical Center,278,170,255,2
INS00000760,AtlantiCare Regional Medical Center City Campus,244,125,244,2
INS00000761,AtlantiCare Regional Medical Center Mainland Campus,345,210,329,3
INS00000762,Aultman Health Foundation,725,475,530,5
INS00000763,Aurora Memorial Hospital of Burlington,123,50,56,1
INS00000764,Aurora West Allis Medical Center,350,140,204,2
INS00000766,Aurora Medical Center,69,35,40,1
INS00000767,Aurora Saint Lukes Medical Center,910,532,562,6
INS00000768,Aurora Sinai Medical Center,386,160,253,2
INS00000769,Aurora Sheboygan Memorial Medical Center,185,75,135,1
INS00000770,"Aurora Health Care Southern Lakes, Inc",109,35,75,1
INS00000771,Aurora Medical Center of Washington County,71,25,53,1
INS00000773,Aurora Saint Lukes South Shore Hospital,275,56,98,1
INS00000774,Aurora Medical Center Kenosha,73,65,73,1
INS00000775,Landmann-Jungman Memorial Hospital,25,10,25,1
INS00000776,"Osceola Community Hospital, Inc",25,10,25,1
INS00000783,Marshall County Healthcare Center Avera,20,6,20,1
INS00000784,Avera McKennan Hospital and University Health Center,429,219,429,3
INS00000785,"Platte Community Memorial Hospital, Inc",17,9,17,1
INS00000786,Avera Queen of Peace Hospital,120,40,75,1
INS00000787,Avera Saint Benedict Health Center,25,7,25,1
INS00000788,Avera Saint Anthonys Hospital,25,15,25,1
INS00000789,Avera Holy Family Health,25,12,25,1
INS00000790,Avera Sacred Heart Health Services,144,49,70,1
INS00000791,Avera Saint Lukes Hospital,133,75,126,1
INS00000793,Floyd Valley Hospital,25,20,25,1
INS00000794,Sioux Center Community Hospital and Health Center Avera,90,63,90,1
INS00000795,Banner Desert Medical Center,434,371,434,4
INS00000796,Banner Good Samaritan Medical Center,680,530,680,6
INS00000797,Page Hospital,25,5,25,1
INS00000798,Banner Thunderbird Medical Center,513,370,370,4
INS00000800,Banner Baywood Medical Center,340,215,340,3
INS00000801,"The Community Hospital Association, Inc",19,8,8,1
INS00000802,Phoenix Childrens Hospital,465,220,300,3
INS00000803,Fairbanks Memorial Hospital Denali Centre,152,60,127,1
INS00000804,Saint Charles Medical Center Redmond,48,25,48,1
INS00000805,Banner Lassen Medical Center,25,11,25,1
INS00000806,Banner Churchill Community Hospital,40,25,40,1
INS00000807,Los Alamos Medical Center,47,20,47,1
INS00000808,Banner Health,25,11,25,1
INS00000809,Banner Health,25,7,25,1
INS00000810,Washakie Medical Center,25,9,25,1
INS00000811,North Colorado Medical Center,398,175,140,2
INS00000812,McKee Medical Center,132,62,106,1
INS00000813,Sterling Regional MedCenter,25,12,25,1
INS00000814,Ogallala Community Hospital,18,10,18,1
INS00000815,Hospital District 1 Marion County,22,3,22,1
INS00000816,Decatur Health Systems,24,10,10,1
INS00000817,"Regional Health Network, Inc",40,30,40,1
INS00000818,Sturgis Regional Hospital,25,12,25,1
INS00000819,Avera Gregory Healthcare Center,25,10,25,1
INS00000820,Pembina County Memorial Hospital,25,6,25,1
INS00000821,Lisbon Area Health Services,25,15,25,1
INS00000822,Pioneer Memorial Hospital,25,8,25,1
INS00000823,Pershing General Hospital and Nursing Home,34,18,34,1
INS00000824,Banner Health East Morgan County Hospital,25,10,25,1
INS00000825,East Phillips County Hospital District,15,5,15,1
INS00000826,Buena Vista Regional Medical Center,25,11,25,1
INS00000827,Baptist Medical Center East,150,100,150,1
INS00000829,Prattville Baptist Hospital,85,21,50,1
INS00000830,Mizell Memorial Hospital,99,24,58,1
INS00000831,Crenshaw Community Hospital,65,25,52,1
INS00000832,Baptist Medical Center South,454,260,350,3
INS00000833,"Baptist Hospital, Inc",492,250,400,3
INS00000834,"Baptist Hospital, Inc",77,51,77,1
INS00000835,Baptist Health Care,55,15,55,1
INS00000836,"Baptist Health Care, Inc",49,22,45,1
INS00000837,DW McMillan Memorial Hospital,49,22,49,1
INS00000838,Baptist Hospital of Miami,680,545,680,6
INS00000839,Homestead Hospital,120,88,88,1
INS00000840,Mariners Hospital,25,25,25,1
INS00000841,South Miami Hospital,467,223,467,3
INS00000842,Baptist Childrens Hospital,78,40,78,1
INS00000843,Baptist Health System,268,175,180,2
INS00000844,Northeast Baptist Hospital,286,180,220,2
INS00000845,Saint Lukes Baptist Hospital,291,119,291,2
INS00000846,Baptist Medical Center,636,256,320,3
INS00000848,Baptist Health Medical Center Little Rock,827,500,827,5
INS00000849,Baptist Health Medical Center Arkadelphia,25,12,25,1
INS00000850,Baptist Health Medical Center North Little Rock,220,140,182,2
INS00000851,Baxter Regional,268,150,230,2
INS00000852,Baptist Health,25,10,25,1
INS00000853,Baptist Health Medical Center Stuttgart,49,30,49,1
INS00000854,White County Medical Center,245,130,160,2
INS00000855,Arrowhead Hospital,220,115,220,2
INS00000856,Western Arizona Regional Medical Center,139,99,139,1
INS00000857,Phoenix Baptist Hospital,236,100,118,1
INS00000858,"La Paz Regional Hospital, Inc",39,12,39,1
INS00000859,Seton Corporation,683,575,580,6
INS00000860,Hickman Community Health Care Services,25,15,15,1
INS00000861,"Cannon County, LLC",71,30,71,1
INS00000862,"Middle Tennessee Medical Center, Inc",286,195,195,2
INS00000863,Perry Community Hospital,53,23,53,1
INS00000864,Forrest City Medical Center,118,40,118,1
INS00000865,South Mississippi County Regional Medical Center,25,10,12,1
INS00000866,Great River Medical Center,168,25,25,1
INS00000867,Baptist Memorial Hospital Union City,173,45,85,1
INS00000868,Baptist Memorial Hospital Huntingdon,70,12,36,1
INS00000869,Lauderdale Community Hospital,25,13,25,1
INS00000870,Baptist Memorial Hospital Tipton,100,30,100,1
INS00000871,Baptist Memorial Hospital DeSoto,339,225,339,3
INS00000872,Baptist Memorial Hospital North Mississippi,217,145,217,2
INS00000873,Baptist Memorial Hospital Union County,153,45,50,1
INS00000874,Tippah County Health Services,40,9,40,1
INS00000875,Baptist Memorial Hospital Booneville,114,38,65,1
INS00000876,Baptist Memorial Hospital Golden Triangle,328,150,328,2
INS00000878,Baptist Memorial Hospital Memphis,732,580,732,6
INS00000879,Baptist Memorial Hospital Collierville,81,37,81,1
INS00000880,Baptist Hospital Northeast,120,60,120,1
INS00000881,Western Baptist Hospital,349,186,349,2
INS00000882,Baptist Hospital East,519,400,519,4
INS00000883,Baptist Regional Medical Center,263,180,240,2
INS00000884,Central Baptist Hospital,383,325,383,4
INS00000885,Hardin Memorial Hospital,300,175,300,2
INS00000886,Trinity Medical Center,534,235,534,3
INS00000887,Cherokee Medical Center,64,30,45,1
INS00000888,Citizens Baptist Medical Center,122,50,106,1
INS00000889,Sylacauga Health Care Authority,147,125,147,2
INS00000890,"Cullman Regional Medical Center, Inc",145,90,115,1
INS00000891,DeKalb Regional Medical Center,134,52,115,1
INS00000892,Lawrence Medical Center,98,32,48,1
INS00000893,"Marion Regional Medical Center, Inc",36,22,25,1
INS00000894,"Baptist Health System, Inc",192,150,192,2
INS00000895,Walker Baptist Medical Center,267,115,150,2
INS00000896,Princeton Baptist Medical Center,499,268,330,3
INS00000897,The Mary Imogene Bassett Hospital,180,97,180,1
INS00000898,Bassett Health Network,23,10,16,1
INS00000899,Bassett Hospital of Schoharie County,40,24,30,1
INS00000900,"Saint Josephs Hospital, Inc",528,450,528,5
INS00000901,Saint Anthonys Hospital,405,235,405,3
INS00000902,"Trustees of Mease, Inc",143,125,143,2
INS00000903,"Morton Plant Hospital Association, Inc",687,337,554,4
INS00000904,"Trustees of Mease, Inc",300,200,300,2
INS00000905,"Morton Plant North Bay Hospital Association, Inc",154,102,102,2
INS00000906,"Saint Josephs Hospital, Inc",192,106,192,2
INS00000907,Bayfront Medical Center,502,312,482,4
INS00000908,"South Florida Baptist Hospital, Inc",147,92,147,1
INS00000909,"Saint Josephs Hospital, Inc",164,90,164,1
INS00000910,Baylor Medical Center at Waxahachie,57,50,57,1
INS00000911,Baylor Medical Center at Garland,240,225,240,3
INS00000912,Baylor Regional Medical Center at Grapevine,276,255,276,3
INS00000913,Methodist Richardson Medical Center,209,128,209,2
INS00000914,Baylor University Medical Center,1025,720,1025,6
INS00000915,Hopkins County Hospital District,96,40,96,1
INS00000916,Baylor Medical Center at Irving,296,180,296,2
INS00000917,"PRHC Ennis, LP",60,25,50,1
INS00000918,Baystate Mary Lane Hospital,25,14,17,1
INS00000919,Baystate Health,549,455,510,5
INS00000920,Baystate Franklin Medical Center,90,62,67,1
INS00000921,Clearwater Valley Hospital and Clinic,23,19,19,1
INS00000922,Saint Marys Medical Center,337,281,288,3
INS00000923,Essentia Health Saint Josephs Medical Center,162,61,70,1
INS00000924,Essentia Health Saint Marys Detroit Lakes,87,37,40,1
INS00000925,Saint Marys Hospital,25,18,18,1
INS00000926,Grand Itasca Clinic and Hospital,62,25,30,1
INS00000928,Pine Medical Center,25,8,11,1
INS00000929,Saint Marys Hospital of Superior,25,12,25,1
INS00000930,Alton Memorial Hospital,220,110,138,2
INS00000931,Barnes-Jewish Hospital,1128,805,1128,7
INS00000932,Barnes-Jewish Saint Peters Hospital,127,80,113,1
INS00000933,Barnes-Jewish West County Hospital,113,47,92,1
INS00000934,Boone Hospital Center,394,260,388,3
INS00000935,Christian Hospital Northeast,482,217,459,3
INS00000936,Clay County Hospital,18,11,18,1
INS00000937,Fayette County Hospital,25,20,25,1
INS00000938,Missouri Baptist Hospital of Sullivan,52,25,46,1
INS00000939,Missouri Baptist Medical Center,489,400,489,4
INS00000940,Parkland Health Center,130,75,100,1
INS00000941,Saint Louis Childrens Hospital,250,185,250,2
INS00000942,Randolph Hospital District,25,15,25,1
INS00000943,Salem Memorial District Hospital,25,12,25,1
INS00000944,Salem Township Hospital,25,20,25,1
INS00000945,Greenville Regional Hospital,42,28,42,1
INS00000946,Freeman Oakhill Health System,322,213,322,3
INS00000947,Jersey Community Hospital,65,14,65,1
INS00000948,Washington County Memorial Hospital,25,8,25,1
INS00000949,"Kirksville Missouri Hospital Company, LLC",115,60,115,1
INS00000950,Madison Medical Center,25,11,25,1
INS00000951,Pershing Memorial Hospital,25,14,25,1
INS00000952,Saint Francis Hospital Downtown,257,216,257,3
INS00000953,Hoboken University Medical Center,350,225,350,3
INS00000954,Saint Anthony Community Hospital,73,50,73,1
INS00000955,Our Lady of Bellefonte Hospital,214,176,214,2
INS00000958,Bon Secours DePaul Medical Center,110,105,110,2
INS00000959,Bon Secours Baltimore Health System,125,100,125,1
INS00000960,Bon Secours Saint Marys Hospital,391,300,391,3
INS00000961,Peace River Regional Medical Center,219,150,219,2
INS00000962,Beaumont Hospital Grosse Pointe,289,160,180,2
INS00000963,Bon Secours Maryview Medical Center,353,231,295,3
INS00000965,"Venice HMA, LLC",312,160,222,2
INS00000967,Bon Secours Richmond Community Hospital,104,65,104,1
INS00000968,Saint Francis East Side,93,26,93,1
INS00000969,Mary Immaculate Hospital,110,98,110,1
INS00000970,Good Samaritan Hospital,370,260,370,3
INS00000971,Bon Secours Community Hospital,187,86,187,1
INS00000972,Bon Secours Memorial Regional Medical Center,225,135,225,2
INS00000973,Quincy Medical Center,196,130,196,2
INS00000975,Boston Medical Center,639,400,490,4
INS00000976,Cobre Valley Regional Medical Center,25,15,25,1
INS00000977,Summit Healthcare Regional Medical Center,89,50,89,1
INS00000978,"Northern Cochise Community Hospital, Inc",24,16,24,1
INS00000979,Pioneers Memorial Healthcare District,107,62,107,1
INS00000980,Hazel Hawkins Memorial Hospital,49,20,49,1
INS00000981,Hammond Henry Hospital,25,8,25,1
INS00000982,Hillsboro Area Hospital,25,20,25,1
INS00000984,Lady of the Sea General Hospital,25,17,25,1
INS00000985,Barrett Hospital and Healthcare,20,6,20,1
INS00000986,Rosebud Community Hospital,46,36,46,1
INS00000987,Big Horn Hospital Association,25,15,25,1
INS00000988,"Saint Johns Lutheran Hospital, Inc",25,12,25,1
INS00000989,Roundup Memorial Hospital Association,25,25,25,1
INS00000990,Mineral Community Hospital,25,20,25,1
INS00000991,San Miguel Hospital Corporation,54,25,54,1
INS00000992,Adirondack Medical Center,97,45,75,1
INS00000994,Blue Mountain Hospital District,25,5,25,1
INS00000995,Sunnyside Community Hospital,25,10,25,1
INS00000996,"Powell Valley Health Care, Inc",25,17,25,1
INS00000998,Union County General Hospital,25,14,25,1
INS00000999,Northern Montana Hospital,49,23,49,1
INS00001000,San Gorgonio Memorial Hospital,77,40,77,1
INS00001001,Sparta Community Hospital District,25,14,25,1
INS00001003,Cambridge Memorial Hospital,25,25,25,1
INS00001004,Edgerton Hospital and Health Services,18,10,18,1
INS00001005,Burnett Medical Center,25,10,25,1
INS00001006,"Saint Josephs Community Health Services, Inc",25,3,12,1
INS00001007,Grant Regional Health Center,25,10,25,1
INS00001008,Southwest Health Center,25,8,25,1
INS00001009,Ripon Medical Center,25,10,25,1
INS00001010,Shawano Medical Center,25,22,25,1
INS00001011,Spooner Health System,25,6,25,1
INS00001012,Callaway Community Hospital,49,15,28,1
INS00001013,"Community Memorial Hospital, Inc",25,12,25,1
INS00001014,Corcoran District Hospital,32,6,32,1
INS00001015,Tehachapi Valley Healthcare District,25,19,25,1
INS00001016,Southeast Arizona Medical Center,25,4,10,1
INS00001017,Colusa Regional Medical Center,48,18,48,1
INS00001019,"Jupiter Medical Center, Inc",193,120,193,2
INS00001020,Adams County Hospital,25,12,25,1
INS00001021,Tomah Memorial Hospital,25,10,12,1
INS00001022,Hospital Service District Number 1,25,10,25,1
INS00001023,"Saint Martin Hospital, Inc",25,9,25,1
INS00001024,Hospital Service District Number 1 of Iberia Parish,101,40,101,1
INS00001025,Rio Grande Hospital,17,3,17,1
INS00001026,Bronson Methodist Hospital,299,240,299,3
INS00001028,Bronx-Lebanon Hospital Center,415,398,415,4
INS00001029,Bryan LGH Medical Center,314,181,242,2
INS00001030,Bryan LGH Medical Center West,290,101,160,2
INS00001031,CAMC General Hospital,268,163,268,2
INS00001032,Braxton County Memorial Hospital,25,12,25,1
INS00001033,Plateau Medical Center,25,25,25,1
INS00001034,CAMC General Hospital,424,279,424,3
INS00001035,CAMC Women and Childrens Hospital,146,86,146,1
INS00001036,"Cape Cod Healthcare, Inc",253,170,253,2
INS00001037,Falmouth Hospital,95,65,95,1
INS00001038,Highsmith-Rainey Specialty Hospital,66,65,65,1
INS00001039,"Cumberland County Hospital System, Inc",600,590,600,6
INS00001040,Concord Hospital,295,220,245,3
INS00001041,New London Hospital,25,12,25,1
INS00001042,Monadnock Community Hospital,25,13,25,1
INS00001043,Jay County Hospital,25,12,25,1
INS00001044,Indiana University Health Ball Memorial Hospital,368,290,340,3
INS00001045,Roper Saint Francis Healthcare,144,125,144,2
INS00001046,Care Alliance Health Services,453,300,348,3
INS00001048,Beaufort Memorial Hospital,197,128,169,2
INS00001049,Beth Israel Deaconess Medical Center East Campus,166,152,155,2
INS00001050,Beth Israel Deaconess Hospital Needham,58,30,58,1
INS00001051,Nashoba Valley Medical Center,57,18,57,1
INS00001052,New England Baptist Hospital,118,85,118,1
INS00001053,Beth Israel Deaconess Medical Center West Campus,395,320,386,4
INS00001055,Mount Auburn Hospital,207,171,207,2
INS00001056,Women and Infants Hospital of Rhode Island,257,140,201,2
INS00001057,Kent County Memorial Hospital,359,260,275,3
INS00001058,Bedford Memorial Hospital,50,35,50,1
INS00001059,Carilion Franklin Memorial Hospital,37,20,37,1
INS00001060,Carilion Roanoke Memorial Hospital,785,462,785,5
INS00001061,Carilion New River Valley Medical Center,146,80,110,1
INS00001062,Carilion Tazewell Community Hospital,56,11,12,1
INS00001063,"Centra Southside Community Hospital, Inc",116,63,88,1
INS00001064,"Wythe County Community Hospital, LLC",100,30,100,1
INS00001065,Carilion Roanoke Community Hospital,197,132,197,2
INS00001066,Carilion Giles Community Hospital,25,18,25,1
INS00001067,Bath County Community Hospital,25,7,25,1
INS00001068,Smyth County Community Hospital,170,70,170,1
INS00001069,"Steward Carney Hospital, Inc",159,115,159,2
INS00001070,Steward Holy Family Hospital and Medical Center,244,132,189,2
