Donate ID,Donate Date,Gender,Deposit Amount,Preferred Color of Device,Ice Cream Products Consumed Per Week,Favorite Flavor Of Ice Cream,Donated To Kick Starter Before,Household Income,Do you own a Keurig,How many desserts do you eat a week,Purchased
45,01-07-19,male,100,no preference,5,specialty,yes,Not Reported,yes,10,0
46,01-07-19,female,100,red,1,chocolate,yes,Not Reported,yes,9,1
47,01-07-19,male,100,silver,1,chocolate,yes,Not Reported,yes,9,1
48,01-07-19,male,100,blue,0,vanilla,yes,Not Reported,yes,6,0
49,01-07-19,male,100,silver,8,specialty,yes,Not Reported,yes,8,1
50,01-07-19,male,100,no preference,8,chocolate,yes,Not Reported,yes,8,0
51,01-07-19,male,100,silver,9,specialty,yes,Not Reported,yes,9,1
52,01-07-19,female,100,red,0,no preference,yes,Not Reported,yes,7,0
53,01-07-19,female,100,red,5,chocolate,yes,Not Reported,yes,5,1
54,01-07-19,male,100,blue,5,no preference,yes,Not Reported,yes,9,0
55,01-07-19,male,100,white,7,swirl,yes,Not Reported,yes,7,1
56,01-07-19,male,100,white,3,no preference,yes,Not Reported,yes,7,0
57,01-07-19,male,100,no preference,5,no preference,yes,Not Reported,yes,5,0
58,01-07-19,male,100,red,2,vanilla,yes,Not Reported,yes,9,1
59,01-07-19,female,100,red,5,vanilla,yes,Not Reported,yes,9,1
60,01-07-19,male,100,white,4,vanilla,yes,Not Reported,yes,9,1
61,01-07-19,female,100,red,1,vanilla,yes,Not Reported,yes,10,1
62,01-07-19,male,100,red,0,chocolate,yes,Not Reported,yes,9,1
63,01-07-19,female,100,no preference,5,no preference,yes,Not Reported,yes,5,0
64,01-07-19,male,100,white,5,swirl,yes,Not Reported,yes,5,0
65,01-07-19,male,100,black,0,swirl,yes,Not Reported,yes,1,1
66,01-07-19,male,100,silver,4,specialty,yes,Not Reported,yes,7,1
67,01-07-19,female,100,white,6,no preference,yes,Not Reported,yes,10,0
68,01-07-19,male,100,red,4,vanilla,yes,Not Reported,yes,5,1
69,01-07-19,female,100,white,5,chocolate,yes,Not Reported,yes,6,1
70,01-07-19,male,100,white,7,chocolate,yes,Not Reported,yes,10,1
71,01-07-19,male,100,white,7,chocolate,yes,<100K,yes,10,1
72,01-07-19,male,100,red,4,chocolate,yes,<100K,yes,5,1
73,01-07-19,female,100,white,4,chocolate,yes,<100K,yes,5,1
74,01-07-19,male,100,blue,9,chocolate,yes,<100K,yes,9,1
75,01-07-19,male,100,white,0,chocolate,yes,<100K,yes,6,1
76,01-07-19,female,100,white,3,chocolate,yes,<100K,yes,9,1
77,01-07-19,female,100,silver,10,chocolate,yes,<100K,yes,10,1
78,01-07-19,female,100,silver,3,chocolate,yes,<100K,yes,7,1
79,01-07-19,male,100,silver,2,chocolate,yes,<100K,yes,10,1
80,01-07-19,male,100,white,1,chocolate,yes,<100K,yes,8,1
81,01-07-19,male,100,red,0,chocolate,yes,<100K,yes,5,1
82,01-07-19,male,100,silver,4,chocolate,yes,<100K,yes,10,1
83,01-07-19,male,100,no preference,2,chocolate,yes,<100K,yes,8,0
84,01-07-19,male,100,silver,0,chocolate,yes,<100K,yes,8,1
85,01-07-19,female,100,no preference,2,chocolate,yes,<100K,yes,9,0
86,01-07-19,female,100,silver,8,chocolate,yes,Not Reported,yes,10,1
87,01-07-19,female,100,no preference,6,chocolate,yes,Not Reported,yes,6,0
88,01-07-19,female,100,red,10,vanilla,yes,Not Reported,yes,10,1
89,01-07-19,male,100,silver,10,swirl,yes,Not Reported,yes,10,1
90,01-07-19,male,100,no preference,2,chocolate,yes,Not Reported,yes,6,0
91,01-07-19,male,100,blue,5,no preference,yes,Not Reported,yes,5,0
92,01-07-19,male,100,blue,1,chocolate,yes,Not Reported,yes,6,1
93,01-07-19,male,100,blue,3,vanilla,yes,Not Reported,yes,7,0
94,01-07-19,male,100,no preference,10,vanilla,yes,Not Reported,yes,10,0
95,01-07-19,male,100,blue,10,no preference,yes,Not Reported,yes,10,1
96,01-07-19,female,100,white,3,vanilla,yes,<100K,yes,6,1
97,01-07-19,female,100,blue,6,vanilla,yes,<100K,yes,6,1
98,01-07-19,female,100,white,8,vanilla,yes,<100K,yes,8,1
99,01-07-19,male,100,black,7,vanilla,yes,Not Reported,yes,9,1
100,01-07-19,female,100,no preference,1,swirl,yes,<100K,yes,5,0
101,01-07-19,female,100,red,5,specialty,yes,<100K,yes,5,0
102,01-07-19,female,100,blue,9,specialty,yes,<100K,yes,10,1
103,01-07-19,female,100,silver,8,specialty,yes,<100K,yes,8,1
104,01-07-19,female,100,red,3,swirl,yes,<100K,yes,9,1
105,01-07-19,male,100,silver,3,specialty,yes,Not Reported,yes,6,1
106,01-07-19,male,100,blue,5,vanilla,yes,Not Reported,yes,5,0
107,01-07-19,female,100,blue,0,vanilla,yes,<100K,yes,7,1
108,01-07-19,female,100,no preference,5,vanilla,yes,<100K,yes,10,0
109,01-07-19,male,100,no preference,7,vanilla,yes,Not Reported,yes,8,0
110,01-07-19,female,100,no preference,2,vanilla,yes,<100K,yes,6,0
111,01-07-19,female,100,silver,0,vanilla,yes,<100K,yes,2,1
112,01-07-19,female,100,silver,6,vanilla,yes,<100K,yes,6,0
113,01-07-19,male,100,red,6,vanilla,yes,Not Reported,no,6,0
114,01-07-19,male,100,black,9,vanilla,yes,Not Reported,no,9,1
115,01-07-19,female,100,red,6,vanilla,yes,<100K,yes,10,1
116,01-07-19,male,100,white,9,vanilla,yes,Not Reported,yes,9,1
117,01-07-19,female,100,blue,2,vanilla,yes,<100K,yes,5,1
118,01-07-19,male,100,red,8,vanilla,yes,Not Reported,yes,8,1
119,01-07-19,male,100,red,5,vanilla,yes,Not Reported,yes,5,0
120,01-07-19,female,100,silver,0,vanilla,yes,<100K,yes,10,1
121,01-07-19,male,100,red,2,vanilla,yes,Not Reported,yes,7,0
122,01-07-19,female,100,no preference,4,vanilla,yes,<100K,yes,4,0
123,01-07-19,male,100,red,1,vanilla,yes,Not Reported,yes,5,0
124,01-07-19,female,100,white,3,vanilla,yes,<100K,yes,7,1
125,01-07-19,female,100,silver,1,vanilla,yes,<100K,yes,10,1
126,01-07-19,female,100,black,9,vanilla,yes,<100K,yes,9,1
127,01-07-19,female,100,red,0,vanilla,yes,<100K,yes,5,1
128,01-07-19,female,100,no preference,10,vanilla,yes,<100K,yes,10,0
129,01-07-19,female,100,silver,9,vanilla,yes,<100K,yes,9,1
130,01-07-19,female,100,white,3,vanilla,yes,<100K,yes,10,1
131,01-07-19,male,100,white,10,vanilla,yes,Not Reported,yes,10,1
132,01-07-19,male,100,no preference,8,no preference,yes,Not Reported,yes,8,0
133,01-07-19,female,100,silver,1,swirl,yes,<100K,yes,9,1
134,01-07-19,male,100,white,7,swirl,yes,Not Reported,yes,7,1
135,01-07-19,female,100,white,6,swirl,yes,<100K,yes,9,1
136,01-07-19,male,100,silver,1,swirl,yes,Not Reported,yes,2,0
137,01-07-19,female,100,black,0,swirl,yes,<100K,yes,2,1
138,01-07-19,female,100,no preference,10,swirl,yes,<100K,yes,10,0
139,01-07-19,male,100,blue,8,swirl,yes,Not Reported,yes,8,1
140,01-07-19,female,100,red,1,swirl,yes,<100K,yes,5,0
141,01-07-19,male,100,blue,3,swirl,yes,Not Reported,yes,3,1
142,01-07-19,male,100,silver,4,swirl,yes,Not Reported,yes,10,1
143,01-07-19,male,100,silver,7,swirl,yes,Not Reported,yes,7,1
144,01-07-19,female,100,black,0,swirl,yes,<100K,yes,3,0
145,01-07-19,female,100,black,7,swirl,yes,<100K,yes,9,1
146,01-07-19,female,100,no preference,2,swirl,yes,<100K,yes,4,0
147,01-07-19,female,100,silver,2,swirl,yes,<100K,yes,9,1
148,01-07-19,male,100,red,8,swirl,yes,Not Reported,yes,8,1
149,01-07-19,male,100,no preference,5,swirl,yes,Not Reported,yes,7,0
150,01-07-19,male,100,white,9,swirl,yes,Not Reported,yes,9,1
151,01-07-19,female,100,blue,7,swirl,yes,<100K,yes,7,1
152,01-07-19,male,100,white,9,swirl,yes,Not Reported,yes,9,1
153,01-07-19,female,100,black,5,swirl,yes,<100K,yes,9,1
154,01-07-19,female,100,black,1,swirl,yes,<100K,yes,8,1
155,01-07-19,male,100,red,7,swirl,yes,Not Reported,yes,7,1
156,01-07-19,male,100,black,0,swirl,yes,Not Reported,yes,7,0
157,01-07-19,female,100,blue,8,swirl,yes,<100K,yes,8,1
158,01-07-19,female,100,no preference,5,swirl,yes,<100K,yes,5,0
159,01-07-19,female,100,blue,8,swirl,yes,<100K,yes,8,1
160,01-07-19,female,100,silver,4,swirl,yes,<100K,yes,10,1
161,01-07-19,male,100,black,5,swirl,yes,Not Reported,yes,9,1
162,01-07-19,male,100,silver,5,swirl,yes,Not Reported,yes,5,0
163,01-07-19,female,100,red,3,swirl,yes,<100K,yes,4,1
164,01-07-19,male,100,no preference,3,swirl,yes,Not Reported,yes,10,0
165,01-07-19,female,100,blue,6,swirl,yes,<100K,yes,6,1
166,01-07-19,female,100,blue,10,swirl,yes,<100K,yes,10,1
167,01-07-19,female,100,blue,4,swirl,yes,<100K,yes,4,1
168,01-07-19,female,100,white,8,swirl,yes,<100K,yes,8,1
169,01-07-19,female,100,red,10,swirl,yes,<100K,yes,10,1
170,01-07-19,male,100,silver,5,swirl,yes,Not Reported,yes,5,0
171,01-07-19,male,100,no preference,9,swirl,yes,Not Reported,yes,9,0
172,01-07-19,male,100,no preference,6,swirl,yes,Not Reported,yes,6,0
173,01-07-19,female,100,silver,1,swirl,yes,<100K,yes,9,1
174,01-07-19,male,100,red,3,swirl,yes,Not Reported,yes,3,1
175,01-07-19,female,100,red,4,swirl,yes,<100K,yes,6,0
176,01-07-19,female,100,red,6,swirl,yes,<100K,yes,6,1
177,01-07-19,male,100,no preference,3,swirl,yes,Not Reported,yes,9,0
178,01-07-19,female,100,black,0,swirl,yes,<100K,yes,4,1
179,01-07-19,male,100,white,9,swirl,yes,Not Reported,yes,9,1
180,01-07-19,female,100,white,1,swirl,yes,<100K,yes,6,0
181,01-07-19,female,100,silver,8,swirl,yes,<100K,yes,9,1
182,01-07-19,male,100,red,5,swirl,yes,Not Reported,yes,10,1
183,01-07-19,female,100,silver,5,swirl,yes,<100K,yes,7,0
184,01-07-19,female,100,blue,8,swirl,yes,<100K,yes,8,1
185,01-07-19,female,100,black,1,swirl,yes,<100K,yes,1,1
186,01-07-19,male,100,silver,6,swirl,yes,Not Reported,yes,6,0
187,01-07-19,female,100,silver,6,swirl,yes,<100K,yes,6,1
188,01-07-19,male,100,silver,1,swirl,yes,Not Reported,yes,2,1
189,01-07-19,female,100,white,8,swirl,yes,<100K,yes,8,1
190,01-07-19,male,100,red,0,swirl,yes,Not Reported,yes,9,1
191,01-07-19,female,100,white,9,swirl,yes,<100K,yes,9,1
192,01-07-19,female,100,silver,6,swirl,yes,<100K,yes,7,0
193,01-07-19,male,100,white,2,swirl,yes,Not Reported,yes,10,1
194,01-07-19,female,100,white,4,swirl,yes,<100K,yes,4,1
195,01-07-19,female,100,no preference,2,swirl,yes,<100K,yes,2,0
196,01-07-19,male,100,black,3,swirl,yes,Not Reported,yes,6,1
197,01-07-19,male,100,no preference,7,swirl,yes,Not Reported,yes,7,0
198,01-07-19,male,100,red,10,swirl,yes,Not Reported,yes,10,1
199,01-07-19,female,100,white,7,swirl,yes,<100K,yes,7,0
200,01-07-19,female,100,silver,0,swirl,yes,<100K,yes,1,0
201,01-07-19,male,100,blue,8,swirl,yes,Not Reported,yes,8,1
202,01-07-19,male,100,no preference,6,swirl,yes,Not Reported,yes,9,0
203,01-07-19,male,100,black,7,swirl,yes,Not Reported,yes,7,1
204,01-07-19,female,100,white,5,swirl,yes,<100K,yes,8,1
205,01-07-19,female,100,black,3,swirl,yes,<100K,yes,8,1
206,01-07-19,female,100,black,10,swirl,yes,<100K,yes,10,1
207,01-07-19,male,100,no preference,7,swirl,yes,Not Reported,yes,7,0
208,01-07-19,male,100,blue,0,swirl,yes,Not Reported,yes,7,0
209,01-07-19,female,100,black,9,swirl,yes,<100K,yes,9,1
210,01-07-19,female,100,no preference,2,swirl,yes,<100K,yes,2,0
211,01-07-19,male,100,no preference,1,swirl,yes,Not Reported,yes,10,0
212,01-07-19,male,100,blue,10,swirl,yes,Not Reported,yes,10,1
213,01-07-19,female,100,silver,4,swirl,yes,<100K,yes,9,1
214,01-07-19,male,100,no preference,0,swirl,yes,Not Reported,yes,1,0
215,01-07-19,female,100,white,7,swirl,yes,<100K,yes,7,1
216,01-07-19,male,100,white,6,swirl,yes,Not Reported,yes,7,0
217,01-07-19,female,100,black,4,swirl,yes,<100K,yes,10,1
218,01-07-19,female,100,blue,3,swirl,yes,<100K,yes,9,1
219,01-07-19,female,100,blue,2,swirl,yes,<100K,yes,6,1
220,01-07-19,female,100,blue,2,swirl,yes,<100K,yes,2,1
221,01-07-19,male,100,white,8,swirl,yes,Not Reported,yes,8,1
222,01-07-19,male,100,white,9,swirl,yes,Not Reported,yes,9,1
223,01-07-19,female,100,no preference,10,swirl,yes,<100K,yes,10,0
224,01-07-19,female,100,blue,2,swirl,yes,<100K,yes,6,1
225,01-07-19,female,100,red,2,swirl,yes,<100K,yes,5,1
226,01-07-19,female,100,silver,2,swirl,yes,<100K,yes,10,1
227,01-07-19,female,100,black,7,swirl,yes,<100K,yes,7,0
228,01-07-19,male,100,red,5,swirl,yes,Not Reported,yes,5,0
229,01-07-19,female,100,black,0,swirl,yes,<100K,yes,8,1
230,01-07-19,female,100,white,1,swirl,yes,<100K,yes,4,1
231,01-07-19,female,100,black,5,swirl,yes,<100K,yes,7,0
232,01-07-19,female,100,blue,5,swirl,yes,<100K,yes,9,1
233,01-07-19,male,100,black,6,swirl,yes,Not Reported,yes,6,0
234,01-07-19,male,100,white,1,swirl,yes,Not Reported,yes,8,1
235,01-07-19,female,100,white,5,swirl,yes,<100K,yes,6,1
236,01-07-19,female,100,no preference,9,swirl,yes,<100K,yes,9,0
237,01-07-19,female,100,red,9,swirl,yes,<100K,yes,9,1
238,01-07-19,female,100,silver,1,swirl,yes,<100K,yes,3,0
239,01-07-19,female,100,black,8,swirl,yes,<100K,yes,8,1
240,01-07-19,female,100,silver,9,swirl,yes,<100K,yes,9,1
241,01-07-19,male,100,red,10,swirl,yes,Not Reported,yes,10,1
242,01-07-19,female,100,silver,7,swirl,yes,<100K,yes,7,1
243,01-07-19,female,100,no preference,4,swirl,yes,<100K,yes,8,0
244,01-07-19,male,100,white,10,swirl,yes,Not Reported,yes,10,1
245,01-07-19,female,100,black,4,swirl,yes,<100K,yes,4,0
246,01-07-19,male,100,silver,8,swirl,yes,Not Reported,yes,8,1
247,01-07-19,male,100,white,7,swirl,yes,Not Reported,yes,7,1
248,01-07-19,male,100,white,5,swirl,yes,Not Reported,yes,7,1
249,01-07-19,male,100,no preference,4,swirl,yes,Not Reported,yes,4,0
250,01-07-19,female,100,silver,3,swirl,yes,<100K,yes,5,1
251,01-07-19,female,100,white,5,swirl,yes,<100K,yes,6,1
252,01-07-19,female,100,silver,5,swirl,yes,<100K,yes,5,0
253,01-07-19,female,100,silver,6,swirl,yes,<100K,yes,6,0
254,01-07-19,female,100,silver,4,swirl,yes,<100K,yes,6,0
255,01-07-19,male,100,silver,7,swirl,yes,Not Reported,yes,9,1
256,01-07-19,female,100,blue,2,swirl,yes,<100K,yes,8,1
257,01-07-19,female,100,red,4,swirl,yes,<100K,yes,6,1
258,01-07-19,male,100,no preference,10,swirl,yes,Not Reported,yes,10,0
259,01-07-19,female,100,red,5,swirl,yes,<100K,yes,5,0
260,01-07-19,female,100,black,9,swirl,yes,<100K,yes,9,1
261,01-07-19,female,100,silver,4,swirl,yes,<100K,yes,4,0
262,01-07-19,male,100,silver,8,swirl,yes,Not Reported,yes,8,1
263,01-07-19,female,100,no preference,4,swirl,yes,<100K,yes,7,0
264,01-07-19,male,100,white,7,swirl,yes,Not Reported,yes,7,0
265,01-07-19,female,100,white,6,swirl,yes,<100K,yes,6,0
266,01-07-19,female,100,silver,4,swirl,yes,<100K,yes,5,1
267,01-07-19,female,100,white,5,swirl,yes,<100K,yes,6,1
268,01-07-19,female,100,blue,9,swirl,yes,<100K,yes,9,1
269,01-07-19,female,100,no preference,5,swirl,yes,<100K,yes,10,0
270,01-07-19,male,100,no preference,7,swirl,yes,Not Reported,yes,7,0
271,01-07-19,female,100,black,8,swirl,yes,<100K,yes,8,1
272,01-07-19,female,100,no preference,8,swirl,yes,<100K,yes,10,0
273,01-07-19,female,100,blue,4,swirl,yes,<100K,yes,5,0
274,01-07-19,female,100,red,10,swirl,yes,<100K,yes,10,1
275,01-07-19,female,100,blue,3,swirl,yes,<100K,yes,3,1
276,01-07-19,female,100,white,10,swirl,yes,<100K,yes,10,1
277,01-07-19,male,100,no preference,6,swirl,yes,Not Reported,yes,6,0
278,01-07-19,male,100,blue,9,swirl,yes,Not Reported,yes,9,1
279,01-07-19,male,100,silver,3,swirl,yes,Not Reported,yes,7,1
280,01-07-19,female,100,red,6,swirl,yes,<100K,yes,6,1
281,01-07-19,female,100,red,8,specialty,yes,<100K,yes,8,1
282,01-07-19,female,100,no preference,3,chocolate,yes,<100K,yes,6,0
283,01-07-19,female,100,blue,4,swirl,yes,<100K,yes,4,1
284,01-07-19,female,100,blue,3,swirl,yes,<100K,yes,3,1
285,01-07-19,male,100,no preference,8,no preference,yes,Not Reported,yes,8,0
286,01-07-19,female,100,blue,2,specialty,yes,<100K,yes,3,0
287,01-07-19,female,100,no preference,8,vanilla,yes,<100K,yes,8,0
288,01-07-19,female,100,silver,5,swirl,yes,<100K,yes,10,1
289,01-07-19,male,100,no preference,8,no preference,yes,Not Reported,yes,9,0
290,01-07-19,male,100,white,9,specialty,yes,Not Reported,yes,9,1
291,01-07-19,male,100,white,6,specialty,yes,Not Reported,yes,6,0
292,01-07-19,female,100,black,2,swirl,yes,<100K,yes,8,1
293,01-07-19,female,100,black,9,chocolate,yes,<100K,yes,9,1
294,01-07-19,female,100,blue,4,vanilla,yes,<100K,yes,9,1
295,01-07-19,female,100,blue,1,swirl,yes,<100K,yes,6,1
296,01-07-19,female,100,no preference,4,chocolate,yes,<100K,yes,5,0
297,01-07-19,female,100,silver,4,chocolate,yes,<100K,yes,7,1
298,01-07-19,female,100,blue,10,specialty,yes,<100K,yes,10,1
299,01-07-19,female,100,no preference,1,chocolate,yes,<100K,yes,6,0
300,01-07-19,male,100,no preference,6,swirl,yes,Not Reported,yes,6,0
301,01-07-19,male,100,black,7,chocolate,yes,Not Reported,yes,7,1
302,01-07-19,male,100,no preference,9,no preference,yes,Not Reported,yes,9,0
303,01-07-19,male,100,blue,7,vanilla,yes,Not Reported,yes,8,1
304,01-07-19,female,100,silver,7,no preference,yes,<100K,yes,9,0
305,01-07-19,female,100,blue,1,chocolate,yes,<100K,yes,8,1
306,01-07-19,male,100,white,9,specialty,yes,Not Reported,yes,9,1
307,01-07-19,female,100,no preference,10,vanilla,yes,<100K,yes,10,0
308,01-07-19,male,100,no preference,4,swirl,yes,Not Reported,yes,6,0
309,01-07-19,male,100,black,3,chocolate,yes,Not Reported,yes,6,1
310,01-07-19,female,100,no preference,7,chocolate,yes,<100K,yes,7,0
311,01-07-19,male,100,no preference,10,no preference,yes,Not Reported,yes,10,0
312,01-07-19,female,100,silver,9,chocolate,yes,<100K,yes,9,1
313,01-07-19,female,100,silver,6,chocolate,yes,<100K,yes,9,1
314,01-07-19,female,100,silver,10,no preference,yes,<100K,yes,10,1
315,01-07-19,female,100,red,1,chocolate,yes,<100K,yes,5,1
316,01-07-19,female,100,blue,5,vanilla,yes,<100K,yes,5,0
317,01-07-19,female,100,no preference,9,swirl,yes,<100K,yes,9,0
318,01-07-19,female,100,silver,4,specialty,yes,<100K,yes,4,1
319,01-07-19,male,100,blue,4,specialty,yes,Not Reported,yes,7,0
320,01-07-19,male,100,silver,10,specialty,yes,Not Reported,yes,10,1
321,01-07-19,female,100,black,10,chocolate,yes,<100K,yes,10,1
322,01-07-19,female,100,red,4,no preference,yes,<100K,yes,6,0
323,01-07-19,female,100,silver,5,no preference,yes,<100K,yes,5,0
324,01-07-19,female,100,blue,4,vanilla,yes,<100K,yes,6,0
325,01-07-19,male,100,blue,4,swirl,yes,Not Reported,yes,4,0
326,01-07-19,male,100,black,1,specialty,yes,Not Reported,yes,10,1
327,01-07-19,male,100,no preference,10,swirl,yes,Not Reported,yes,10,0
328,01-07-19,female,100,no preference,2,specialty,yes,<100K,yes,3,0
329,01-07-19,female,100,red,8,swirl,yes,<100K,yes,8,1
330,01-07-19,female,100,white,1,vanilla,yes,<100K,yes,8,1
331,01-07-19,female,100,black,2,chocolate,yes,<100K,yes,9,1
332,01-07-19,female,100,no preference,2,no preference,yes,<100K,yes,5,0
333,01-07-19,male,100,black,1,chocolate,yes,Not Reported,yes,5,1
334,01-07-19,female,100,black,5,no preference,yes,<100K,yes,5,0
335,01-07-19,female,100,no preference,9,vanilla,yes,<100K,yes,9,0
336,01-07-19,female,100,no preference,0,chocolate,yes,<100K,yes,8,0
337,01-07-19,female,100,no preference,5,specialty,yes,<100K,yes,5,0
338,01-07-19,male,100,black,6,no preference,yes,Not Reported,yes,6,0
339,01-07-19,female,100,white,10,no preference,yes,<100K,yes,10,1
340,01-07-19,female,100,white,2,chocolate,yes,<100K,yes,6,1
341,01-07-19,male,100,no preference,3,specialty,yes,Not Reported,yes,9,0
342,01-07-19,male,100,white,1,specialty,yes,Not Reported,yes,6,0
343,01-07-19,female,100,blue,8,swirl,yes,<100K,yes,8,1
344,01-07-19,female,100,silver,6,specialty,yes,<100K,yes,6,0
345,01-07-19,male,100,white,6,no preference,no,Not Reported,yes,6,0
346,01-07-19,male,100,silver,5,swirl,no,Not Reported,yes,7,0
347,01-07-19,female,100,red,7,chocolate,no,<100K,yes,7,1
348,01-07-19,male,100,no preference,9,no preference,no,Not Reported,yes,9,0
349,01-07-19,male,100,black,4,no preference,no,Not Reported,yes,6,0
350,01-07-19,male,100,white,3,chocolate,no,Not Reported,yes,8,1
351,01-07-19,female,100,white,0,no preference,yes,<100K,yes,2,0
352,01-07-19,male,100,black,9,no preference,no,Not Reported,yes,9,0
353,01-07-19,male,100,silver,5,chocolate,yes,Not Reported,yes,5,1
354,01-07-19,male,100,no preference,3,no preference,yes,Not Reported,yes,8,0
355,01-07-19,male,100,blue,7,chocolate,yes,Not Reported,yes,7,1
356,01-07-19,male,100,black,0,chocolate,yes,Not Reported,yes,5,1
357,01-07-19,male,100,white,8,swirl,no,Not Reported,yes,8,1
358,01-07-19,male,100,blue,5,no preference,no,Not Reported,yes,5,0
359,01-07-19,female,100,no preference,3,chocolate,yes,<100K,yes,10,0
360,01-07-19,female,100,red,1,chocolate,yes,<100K,yes,10,1
361,01-07-19,male,100,white,0,no preference,yes,Not Reported,yes,4,1
362,01-07-19,female,100,silver,9,swirl,yes,<100K,yes,9,1
363,01-07-19,male,100,black,0,no preference,yes,Not Reported,yes,4,0
364,01-07-19,female,100,blue,2,swirl,yes,<100K,yes,5,0
365,01-07-19,female,100,black,7,chocolate,yes,<100K,yes,9,1
366,01-07-19,female,100,blue,8,specialty,yes,<100K,yes,9,1
367,01-07-19,female,100,silver,0,chocolate,yes,<100K,yes,7,1
368,01-07-19,male,100,white,0,chocolate,yes,Not Reported,yes,5,1
369,01-07-19,female,100,red,10,chocolate,yes,<100K,yes,10,1
370,01-07-19,male,100,black,2,no preference,no,Not Reported,yes,6,0
371,01-07-19,male,100,black,7,swirl,yes,Not Reported,yes,9,1
372,01-07-19,male,100,red,5,no preference,yes,Not Reported,yes,5,0
373,01-07-19,male,100,white,5,vanilla,no,Not Reported,yes,5,0
374,01-07-19,male,100,blue,9,swirl,no,Not Reported,yes,10,1
375,01-07-19,female,100,red,8,vanilla,yes,<100K,yes,8,1
376,01-07-19,female,100,black,3,swirl,yes,<100K,yes,8,1
377,01-07-19,female,100,no preference,4,chocolate,yes,<100K,yes,8,0
378,01-07-19,female,100,black,3,chocolate,yes,<100K,yes,7,1
379,01-07-19,male,100,red,4,chocolate,yes,Not Reported,yes,10,1
380,01-07-19,female,100,blue,5,swirl,no,<100K,yes,5,1
381,01-07-19,female,100,black,6,swirl,yes,<100K,yes,6,1
382,01-07-19,male,100,blue,2,no preference,no,Not Reported,yes,9,0
383,01-07-19,female,100,red,1,chocolate,yes,<100K,yes,7,1
384,01-07-19,female,100,silver,8,swirl,no,<100K,yes,8,1
