Donate ID,Donate Date,Gender,Deposit Amount,Preferred Color of Device,Ice Cream Products Consumed Per Week,Favorite Flavor Of Ice Cream,Donated To Kick Starter Before,Household Income,Do you own a Keurig,How many desserts do you eat a week
27,01-07-19,male,100,no preference,10,vanilla,yes,<50K,yes,5
28,01-07-19,female,100,no preference,2,no preference,yes,<50K,yes,2
29,01-07-19,male,100,white,5,vanilla,yes,<50K,yes,5
30,01-07-19,male,100,black,7,no preference,yes,<50K,yes,1
31,01-07-19,male,100,red,6,chocolate,yes,<50K,yes,7
32,01-07-19,male,100,silver,1,no preference,yes,<50K,yes,3
33,01-07-19,female,100,black,5,swirl,yes,<50K,yes,7
34,01-07-19,male,100,blue,2,vanilla,yes,<50K,yes,2
35,01-07-19,female,100,black,1,no preference,yes,<100K,yes,4
36,01-07-19,female,100,white,5,chocolate,yes,<100K,yes,5
37,01-07-19,female,100,black,8,no preference,yes,<50K,yes,2
38,01-07-19,male,100,red,6,vanilla,yes,<50K,yes,3
39,01-07-19,male,100,no preference,8,swirl,yes,,yes,5
40,01-07-19,female,100,red,5,specialty,yes,,yes,1
41,01-07-19,male,100,blue,10,vanilla,yes,,yes,3
42,01-07-19,male,100,black,1,specialty,yes,,yes,6
43,01-07-19,male,100,no preference,3,specialty,yes,,yes,1
44,01-07-19,male,100,blue,9,vanilla,yes,,yes,3
45,01-07-19,male,100,no preference,5,specialty,yes,,yes,10
46,01-07-19,female,100,red,1,chocolate,yes,,yes,9
47,01-07-19,male,100,silver,1,chocolate,yes,,yes,9
48,01-07-19,male,100,blue,0,vanilla,yes,,yes,6
49,01-07-19,male,100,silver,8,specialty,yes,,yes,6
50,01-07-19,male,100,no preference,8,chocolate,yes,,yes,5
51,01-07-19,male,100,silver,9,specialty,yes,,yes,5
52,01-07-19,female,100,red,0,no preference,yes,,yes,7
53,01-07-19,female,100,red,5,chocolate,yes,,yes,5
54,01-07-19,male,100,blue,5,no preference,yes,,yes,9
55,01-07-19,male,100,white,7,swirl,yes,,yes,5
56,01-07-19,male,100,white,3,no preference,yes,,yes,7
57,01-07-19,male,100,no preference,5,no preference,yes,,yes,5
58,01-07-19,male,100,red,2,vanilla,yes,,yes,9
59,01-07-19,female,100,red,5,vanilla,yes,,yes,9
60,01-07-19,male,100,white,4,vanilla,yes,,yes,9
61,01-07-19,female,100,red,1,vanilla,yes,,yes,10
62,01-07-19,male,100,red,0,chocolate,yes,,yes,9
63,01-07-19,female,100,no preference,5,no preference,yes,,yes,4
64,01-07-19,male,100,white,5,swirl,yes,,yes,3
65,01-07-19,male,100,black,0,swirl,yes,,yes,1
66,01-07-19,male,100,silver,4,specialty,yes,,yes,7
67,01-07-19,female,100,white,6,no preference,yes,,yes,10
68,01-07-19,male,100,red,,vanilla,yes,,yes,5
69,01-07-19,female,100,white,,chocolate,yes,,yes,6
70,01-07-19,male,100,white,,chocolate,yes,,yes,10
71,01-07-19,male,100,white,,chocolate,yes,<100K,yes,10
72,01-07-19,male,100,red,,chocolate,yes,<100K,yes,5
73,01-07-19,female,100,white,,chocolate,yes,<100K,yes,5
74,01-07-19,male,100,blue,9,chocolate,yes,<100K,yes,9
75,01-07-19,male,100,white,0,chocolate,yes,<100K,yes,6
76,01-07-19,female,100,white,3,chocolate,yes,<100K,yes,9
77,01-07-19,female,100,silver,10,chocolate,yes,<100K,yes,9
78,01-07-19,female,100,silver,3,chocolate,yes,<100K,yes,7
79,01-07-19,male,100,silver,2,chocolate,yes,<100K,yes,10
80,01-07-19,male,100,white,1,chocolate,yes,<100K,yes,8
81,01-07-19,male,100,red,0,chocolate,yes,<100K,yes,5
82,01-07-19,male,100,silver,4,chocolate,yes,<100K,yes,10
83,01-07-19,male,100,no preference,2,chocolate,yes,<100K,yes,8
84,01-07-19,male,100,silver,0,chocolate,yes,<100K,yes,8
85,01-07-19,female,100,no preference,2,chocolate,yes,<100K,yes,9
86,01-07-19,female,100,silver,8,chocolate,yes,,yes,10
87,01-07-19,female,100,no preference,6,chocolate,yes,,yes,6
88,01-07-19,female,100,red,10,vanilla,yes,,yes,4
89,01-07-19,male,100,silver,10,swirl,yes,,yes,10
90,01-07-19,male,100,no preference,2,chocolate,yes,,yes,6
91,01-07-19,male,100,blue,5,no preference,yes,,yes,3
92,01-07-19,male,100,blue,1,chocolate,yes,,yes,6
93,01-07-19,male,100,blue,3,vanilla,yes,,yes,7
94,01-07-19,male,100,no preference,10,vanilla,yes,,yes,3
95,01-07-19,male,100,blue,10,no preference,yes,,yes,3
96,01-07-19,female,100,white,3,vanilla,yes,<100K,yes,6
97,01-07-19,female,100,blue,6,vanilla,yes,<100K,yes,6
98,01-07-19,female,100,white,8,vanilla,yes,<100K,yes,8
99,01-07-19,male,100,black,7,vanilla,yes,,yes,9
100,01-07-19,female,100,no preference,1,swirl,yes,<100K,yes,5
101,01-07-19,female,100,red,5,specialty,yes,<100K,yes,4
102,01-07-19,female,100,blue,9,specialty,yes,<100K,yes,10
103,01-07-19,female,100,silver,8,specialty,yes,<100K,yes,4
104,01-07-19,female,100,red,3,swirl,yes,<100K,yes,9
105,01-07-19,male,100,silver,3,specialty,yes,,yes,6
106,01-07-19,male,100,blue,5,vanilla,yes,,yes,1
107,01-07-19,female,100,blue,0,vanilla,yes,<100K,yes,7
108,01-07-19,female,100,no preference,5,vanilla,yes,<100K,yes,10
109,01-07-19,male,100,no preference,7,vanilla,yes,,yes,8
110,01-07-19,female,100,no preference,2,vanilla,yes,<100K,yes,6
111,01-07-19,female,100,silver,0,vanilla,yes,<100K,yes,2
112,01-07-19,female,100,silver,6,vanilla,yes,<100K,yes,3
113,01-07-19,male,100,red,6,vanilla,yes,,no,3
114,01-07-19,male,100,black,9,vanilla,yes,,no,5
115,01-07-19,female,100,red,6,vanilla,yes,<100K,yes,10
116,01-07-19,male,100,white,9,vanilla,yes,,yes,9
117,01-07-19,female,100,blue,2,vanilla,yes,<100K,yes,5
118,01-07-19,male,100,red,8,vanilla,yes,,yes,7
119,01-07-19,male,100,red,5,vanilla,yes,,yes,3
120,01-07-19,female,100,silver,0,vanilla,yes,<100K,yes,10
121,01-07-19,male,100,red,2,vanilla,yes,,yes,7
122,01-07-19,female,100,no preference,4,vanilla,yes,<100K,yes,3
123,01-07-19,male,100,red,1,vanilla,yes,,yes,5
124,01-07-19,female,100,white,3,vanilla,yes,<100K,yes,7
125,01-07-19,female,100,silver,1,vanilla,yes,<100K,yes,10
126,01-07-19,female,100,black,9,vanilla,yes,<100K,yes,1
127,01-07-19,female,100,red,0,vanilla,yes,<100K,yes,5
128,01-07-19,female,100,no preference,10,vanilla,yes,<100K,yes,3
129,01-07-19,female,100,silver,9,vanilla,yes,<100K,yes,6
130,01-07-19,female,100,white,3,vanilla,yes,<100K,yes,10
131,01-07-19,male,100,white,10,vanilla,yes,,yes,7
132,01-07-19,male,100,no preference,8,no preference,yes,,yes,8
133,01-07-19,female,100,silver,1,swirl,yes,<100K,yes,9
134,01-07-19,male,100,white,7,swirl,yes,,yes,1
135,01-07-19,female,100,white,6,swirl,yes,<100K,yes,9
136,01-07-19,male,100,silver,1,swirl,yes,,yes,2
137,01-07-19,female,100,black,0,swirl,yes,<100K,yes,2
138,01-07-19,female,100,no preference,10,swirl,yes,<100K,yes,8
139,01-07-19,male,100,blue,8,swirl,yes,,yes,2
140,01-07-19,female,100,red,1,swirl,yes,<100K,yes,5
141,01-07-19,male,100,blue,3,swirl,yes,,yes,2
142,01-07-19,male,100,silver,4,swirl,yes,,yes,10
143,01-07-19,male,100,silver,7,swirl,yes,,yes,6
144,01-07-19,female,100,black,0,swirl,yes,<100K,yes,3
145,01-07-19,female,100,black,7,swirl,yes,<100K,yes,9
146,01-07-19,female,100,no preference,2,swirl,yes,<100K,yes,4
147,01-07-19,female,100,silver,2,swirl,yes,<100K,yes,9
148,01-07-19,male,100,red,8,swirl,yes,,yes,6
149,01-07-19,male,100,no preference,5,swirl,yes,,yes,7
150,01-07-19,male,100,white,9,swirl,yes,,yes,4
151,01-07-19,female,100,blue,7,swirl,yes,<100K,yes,6
152,01-07-19,male,100,white,9,swirl,yes,,yes,5
153,01-07-19,female,100,black,5,swirl,yes,<100K,yes,9
154,01-07-19,female,100,black,1,swirl,yes,<100K,yes,8
155,01-07-19,male,100,red,7,swirl,yes,,yes,6
156,01-07-19,male,100,black,0,swirl,yes,,yes,7
157,01-07-19,female,100,blue,8,swirl,yes,<100K,yes,2
158,01-07-19,female,100,no preference,5,swirl,yes,<100K,yes,4
159,01-07-19,female,100,blue,8,swirl,yes,<100K,yes,8
160,01-07-19,female,100,silver,4,swirl,yes,<100K,yes,10
161,01-07-19,male,100,black,5,swirl,yes,,yes,9
162,01-07-19,male,100,silver,5,swirl,yes,,yes,2
163,01-07-19,female,100,red,3,swirl,yes,<100K,yes,4
164,01-07-19,male,100,no preference,3,swirl,yes,,yes,10
165,01-07-19,female,100,blue,6,swirl,yes,<100K,yes,6
166,01-07-19,female,100,blue,10,swirl,yes,<100K,yes,3
167,01-07-19,female,100,blue,4,swirl,yes,<100K,yes,3
168,01-07-19,female,100,white,8,swirl,yes,<100K,yes,2
169,01-07-19,female,100,red,10,swirl,yes,<100K,yes,5
170,01-07-19,male,100,silver,5,swirl,yes,,yes,4
171,01-07-19,male,100,no preference,9,swirl,yes,,yes,5
172,01-07-19,male,100,no preference,6,swirl,yes,,yes,1
173,01-07-19,female,100,silver,1,swirl,yes,<100K,yes,9
174,01-07-19,male,100,red,3,swirl,yes,,yes,1
175,01-07-19,female,100,red,4,swirl,yes,<100K,yes,6
176,01-07-19,female,100,red,6,swirl,yes,<100K,yes,4
177,01-07-19,male,100,no preference,3,swirl,yes,,yes,9
178,01-07-19,female,100,black,0,swirl,yes,<100K,yes,4
179,01-07-19,male,100,white,9,swirl,yes,,yes,3
180,01-07-19,female,100,white,1,swirl,yes,<100K,yes,6
181,01-07-19,female,100,silver,8,swirl,yes,<100K,yes,9
182,01-07-19,male,100,red,5,swirl,yes,,yes,10
183,01-07-19,female,100,silver,5,swirl,yes,<100K,yes,7
184,01-07-19,female,100,blue,8,swirl,yes,<100K,yes,8
185,01-07-19,female,100,black,1,swirl,yes,<100K,yes,1
186,01-07-19,male,100,silver,6,swirl,yes,,yes,5
187,01-07-19,female,100,silver,6,swirl,yes,<100K,yes,5
188,01-07-19,male,100,silver,1,swirl,yes,,yes,2
189,01-07-19,female,100,white,8,swirl,yes,<100K,yes,6
190,01-07-19,male,100,red,0,swirl,yes,,yes,9
191,01-07-19,female,100,white,9,swirl,yes,<100K,yes,5
192,01-07-19,female,100,silver,6,swirl,yes,<100K,yes,7
193,01-07-19,male,100,white,2,swirl,yes,,yes,10
194,01-07-19,female,100,white,4,swirl,yes,<100K,yes,4
195,01-07-19,female,100,no preference,2,swirl,yes,<100K,yes,2
196,01-07-19,male,100,black,3,swirl,yes,,yes,6
197,01-07-19,male,100,no preference,7,swirl,yes,,yes,7
198,01-07-19,male,100,red,10,swirl,yes,,yes,5
199,01-07-19,female,100,white,7,swirl,yes,<100K,yes,4
200,01-07-19,female,100,silver,0,swirl,yes,<100K,yes,1
201,01-07-19,male,100,blue,8,swirl,yes,,yes,5
202,01-07-19,male,100,no preference,6,swirl,yes,,yes,9
203,01-07-19,male,100,black,7,swirl,yes,,yes,6
204,01-07-19,female,100,white,5,swirl,yes,<100K,yes,8
205,01-07-19,female,100,black,3,swirl,yes,<100K,yes,8
206,01-07-19,female,100,black,10,swirl,yes,<100K,yes,8
207,01-07-19,male,100,no preference,7,swirl,yes,,yes,7
208,01-07-19,male,100,blue,0,swirl,yes,,yes,7
209,01-07-19,female,100,black,9,swirl,yes,<100K,yes,4
210,01-07-19,female,100,no preference,2,swirl,yes,<100K,yes,2
211,01-07-19,male,100,no preference,1,swirl,yes,,yes,10
212,01-07-19,male,100,blue,10,swirl,yes,,yes,2
213,01-07-19,female,100,silver,4,swirl,yes,<100K,yes,9
214,01-07-19,male,100,no preference,0,swirl,yes,,yes,1
215,01-07-19,female,100,white,7,swirl,yes,<100K,yes,6
216,01-07-19,male,100,white,6,swirl,yes,,yes,7
217,01-07-19,female,100,black,4,swirl,yes,<100K,yes,10
218,01-07-19,female,100,blue,3,swirl,yes,<100K,yes,9
219,01-07-19,female,100,blue,2,swirl,yes,<100K,yes,6
220,01-07-19,female,100,blue,2,swirl,yes,<100K,yes,2
221,01-07-19,male,100,white,8,swirl,yes,,yes,8
222,01-07-19,male,100,white,9,swirl,yes,,yes,8
223,01-07-19,female,100,no preference,10,swirl,yes,<100K,yes,2
224,01-07-19,female,100,blue,2,swirl,yes,<100K,yes,6
225,01-07-19,female,100,red,2,swirl,yes,<100K,yes,5
226,01-07-19,female,100,silver,2,swirl,yes,<100K,yes,10
227,01-07-19,female,100,black,7,swirl,yes,<100K,yes,7
228,01-07-19,male,100,red,5,swirl,yes,,yes,4
229,01-07-19,female,100,black,0,swirl,yes,<100K,yes,8
230,01-07-19,female,100,white,1,swirl,yes,<100K,yes,4
231,01-07-19,female,100,black,5,swirl,yes,<100K,yes,7
232,01-07-19,female,100,blue,5,swirl,yes,<100K,yes,9
233,01-07-19,male,100,black,6,swirl,yes,,yes,3
234,01-07-19,male,100,white,1,swirl,yes,,yes,8
235,01-07-19,female,100,white,5,swirl,yes,<100K,yes,6
236,01-07-19,female,100,no preference,9,swirl,yes,<100K,yes,6
237,01-07-19,female,100,red,9,swirl,yes,<100K,yes,8
238,01-07-19,female,100,silver,1,swirl,yes,<100K,yes,3
239,01-07-19,female,100,black,8,swirl,yes,<100K,yes,7
240,01-07-19,female,100,silver,9,swirl,yes,<100K,yes,4
241,01-07-19,male,100,red,10,swirl,yes,,yes,6
242,01-07-19,female,100,silver,7,swirl,yes,<100K,yes,6
243,01-07-19,female,100,no preference,4,swirl,yes,<100K,yes,8
244,01-07-19,male,100,white,10,swirl,yes,,yes,10
245,01-07-19,female,100,black,4,swirl,yes,<100K,yes,1
246,01-07-19,male,100,silver,8,swirl,yes,,yes,8
247,01-07-19,male,100,white,7,swirl,yes,,yes,3
248,01-07-19,male,100,white,5,swirl,yes,,yes,7
249,01-07-19,male,100,no preference,4,swirl,yes,,yes,2
250,01-07-19,female,100,silver,3,swirl,yes,<100K,yes,5
251,01-07-19,female,100,white,5,swirl,yes,<100K,yes,6
252,01-07-19,female,100,silver,5,swirl,yes,<100K,yes,3
253,01-07-19,female,100,silver,6,swirl,yes,<100K,yes,3
254,01-07-19,female,100,silver,4,swirl,yes,<100K,yes,6
255,01-07-19,male,100,silver,7,swirl,yes,,yes,9
256,01-07-19,female,100,blue,2,swirl,yes,<100K,yes,8
257,01-07-19,female,100,red,4,swirl,yes,<100K,yes,6
258,01-07-19,male,100,no preference,10,swirl,yes,,yes,4
259,01-07-19,female,100,red,5,swirl,yes,<100K,yes,1
260,01-07-19,female,100,black,9,swirl,yes,<100K,yes,8
261,01-07-19,female,100,silver,4,swirl,yes,<100K,yes,1
262,01-07-19,male,100,silver,8,swirl,yes,,yes,4
263,01-07-19,female,100,no preference,4,swirl,yes,<100K,yes,7
264,01-07-19,male,100,white,7,swirl,yes,,yes,4
265,01-07-19,female,100,white,6,swirl,yes,<100K,yes,2
266,01-07-19,female,100,silver,4,swirl,yes,<100K,yes,5
267,01-07-19,female,100,white,5,swirl,yes,<100K,yes,6
268,01-07-19,female,100,blue,9,swirl,yes,<100K,yes,8
269,01-07-19,female,100,no preference,5,swirl,yes,<100K,yes,10
270,01-07-19,male,100,no preference,7,swirl,yes,,yes,3
271,01-07-19,female,100,black,8,swirl,yes,<100K,yes,4
272,01-07-19,female,100,no preference,8,swirl,yes,<100K,yes,10
273,01-07-19,female,100,blue,4,swirl,yes,<100K,yes,5
274,01-07-19,female,100,red,10,swirl,yes,<100K,yes,2
275,01-07-19,female,100,blue,3,swirl,yes,<100K,yes,3
276,01-07-19,female,100,white,10,swirl,yes,<100K,yes,9
277,01-07-19,male,100,no preference,6,swirl,yes,,yes,5
278,01-07-19,male,100,blue,9,swirl,yes,,yes,4
279,01-07-19,male,100,silver,3,swirl,yes,,yes,7
280,01-07-19,female,100,red,6,swirl,yes,<100K,yes,1
281,01-07-19,female,100,red,8,specialty,yes,<100K,yes,7
282,01-07-19,female,100,no preference,3,chocolate,yes,<100K,yes,6
283,01-07-19,female,100,blue,4,swirl,yes,<100K,yes,1
284,01-07-19,female,100,blue,3,swirl,yes,<100K,yes,3
285,01-07-19,male,100,no preference,8,no preference,yes,,yes,1
286,01-07-19,female,100,blue,2,specialty,yes,<100K,yes,3
287,01-07-19,female,100,no preference,8,vanilla,yes,<100K,yes,7
288,01-07-19,female,100,silver,5,swirl,yes,<100K,yes,10
289,01-07-19,male,100,no preference,8,no preference,yes,,yes,9
290,01-07-19,male,100,white,9,specialty,yes,,yes,6
291,01-07-19,male,100,white,6,specialty,yes,,yes,1
292,01-07-19,female,100,black,2,swirl,yes,<100K,yes,8
293,01-07-19,female,100,black,9,chocolate,yes,<100K,yes,6
294,01-07-19,female,100,blue,4,vanilla,yes,<100K,yes,9
295,01-07-19,female,100,blue,1,swirl,yes,<100K,yes,6
296,01-07-19,female,100,no preference,4,chocolate,yes,<100K,yes,5
297,01-07-19,female,100,silver,4,chocolate,yes,<100K,yes,7
298,01-07-19,female,100,blue,10,specialty,yes,<100K,yes,2
299,01-07-19,female,100,no preference,1,chocolate,yes,<100K,yes,6
300,01-07-19,male,100,no preference,6,swirl,yes,,yes,6
301,01-07-19,male,100,black,7,chocolate,yes,,yes,6
302,01-07-19,male,100,no preference,9,no preference,yes,,yes,5
303,01-07-19,male,100,blue,7,vanilla,yes,,yes,8
304,01-07-19,female,100,silver,7,no preference,yes,<100K,yes,9
305,01-07-19,female,100,blue,1,chocolate,yes,<100K,yes,8
306,01-07-19,male,100,white,9,specialty,yes,,yes,6
307,01-07-19,female,100,no preference,10,vanilla,yes,<100K,yes,9
308,01-07-19,male,100,no preference,4,swirl,yes,,yes,6
309,01-07-19,male,100,black,3,chocolate,yes,,yes,6
310,01-07-19,female,100,no preference,7,chocolate,yes,<100K,yes,6
311,01-07-19,male,100,no preference,10,no preference,yes,,yes,5
312,01-07-19,female,100,silver,9,chocolate,yes,<100K,yes,8
313,01-07-19,female,100,silver,6,chocolate,yes,<100K,yes,9
314,01-07-19,female,100,silver,10,no preference,yes,<100K,yes,7
315,01-07-19,female,100,red,1,chocolate,yes,<100K,yes,5
316,01-07-19,female,100,blue,5,vanilla,yes,<100K,yes,2
317,01-07-19,female,100,no preference,9,swirl,yes,<100K,yes,7
318,01-07-19,female,100,silver,4,specialty,yes,<100K,yes,2
319,01-07-19,male,100,blue,4,specialty,yes,,yes,7
320,01-07-19,male,100,silver,10,specialty,yes,,yes,10
321,01-07-19,female,100,black,10,chocolate,yes,<100K,yes,10
322,01-07-19,female,100,red,4,no preference,yes,<100K,yes,6
323,01-07-19,female,100,silver,5,no preference,yes,<100K,yes,2
324,01-07-19,female,100,blue,4,vanilla,yes,<100K,yes,6
325,01-07-19,male,100,blue,4,swirl,yes,,yes,2
326,01-07-19,male,100,black,1,specialty,yes,,yes,10
327,01-07-19,male,100,no preference,10,swirl,yes,,yes,7
328,01-07-19,female,100,no preference,2,specialty,yes,<100K,yes,3
329,01-07-19,female,100,red,8,swirl,yes,<100K,yes,2
330,01-07-19,female,100,white,1,vanilla,yes,<100K,yes,8
331,01-07-19,female,100,black,2,chocolate,yes,<100K,yes,9
332,01-07-19,female,100,no preference,2,no preference,yes,<100K,yes,5
333,01-07-19,male,100,black,1,chocolate,yes,,yes,5
334,01-07-19,female,100,black,5,no preference,yes,<100K,yes,1
335,01-07-19,female,100,no preference,9,vanilla,yes,<100K,yes,2
336,01-07-19,female,100,no preference,0,chocolate,yes,<100K,yes,8
337,01-07-19,female,100,no preference,5,specialty,yes,<100K,yes,4
338,01-07-19,male,100,black,6,no preference,yes,,yes,3
339,01-07-19,female,100,white,10,no preference,yes,<100K,yes,7
340,01-07-19,female,100,white,2,chocolate,yes,<100K,yes,6
341,01-07-19,male,100,no preference,3,specialty,yes,,yes,9
342,01-07-19,male,100,white,1,specialty,yes,,yes,6
343,01-07-19,female,100,blue,8,swirl,yes,<100K,yes,8
344,01-07-19,female,100,silver,6,specialty,yes,<100K,yes,6
345,01-07-19,male,100,white,6,no preference,no,,yes,5
346,01-07-19,male,100,silver,5,swirl,no,,yes,7
347,01-07-19,female,100,red,7,chocolate,no,<100K,yes,6
348,01-07-19,male,100,no preference,9,no preference,no,,yes,8
349,01-07-19,male,100,black,4,no preference,no,,yes,6
350,01-07-19,male,100,white,3,chocolate,no,,yes,8
351,01-07-19,female,100,white,0,no preference,yes,<100K,yes,2
352,01-07-19,male,100,black,9,no preference,no,,yes,6
353,01-07-19,male,100,silver,5,chocolate,yes,,yes,5
354,01-07-19,male,100,no preference,3,no preference,yes,,yes,8
355,01-07-19,male,100,blue,7,chocolate,yes,,yes,7
356,01-07-19,male,100,black,0,chocolate,yes,,yes,5
357,01-07-19,male,100,white,8,swirl,no,,yes,7
358,01-07-19,male,100,blue,5,no preference,no,,yes,5
359,01-07-19,female,100,no preference,3,chocolate,yes,<100K,yes,10
360,01-07-19,female,100,red,1,chocolate,yes,<100K,yes,10
361,01-07-19,male,100,white,0,no preference,yes,,yes,4
362,01-07-19,female,100,silver,9,swirl,yes,<100K,yes,4
363,01-07-19,male,100,black,0,no preference,yes,,yes,4
364,01-07-19,female,100,blue,2,swirl,yes,<100K,yes,5
365,01-07-19,female,100,black,7,chocolate,yes,<100K,yes,9
366,01-07-19,female,100,blue,8,specialty,yes,<100K,yes,9
367,01-07-19,female,100,silver,0,chocolate,yes,<100K,yes,7
368,01-07-19,male,100,white,0,chocolate,yes,,yes,5
369,01-07-19,female,100,red,10,chocolate,yes,<100K,yes,6
370,01-07-19,male,100,black,2,no preference,no,,yes,6
371,01-07-19,male,100,black,7,swirl,yes,,yes,9
372,01-07-19,male,100,red,5,no preference,yes,,yes,1
373,01-07-19,male,100,white,5,vanilla,no,,yes,1
374,01-07-19,male,100,blue,9,swirl,no,,yes,10
375,01-07-19,female,100,red,8,vanilla,yes,<100K,yes,2
376,01-07-19,female,100,black,3,swirl,yes,<100K,yes,8
377,01-07-19,female,100,no preference,4,chocolate,yes,<100K,yes,8
378,01-07-19,female,100,black,3,chocolate,yes,<100K,yes,7
379,01-07-19,male,100,red,4,chocolate,yes,,yes,10
380,01-07-19,female,100,blue,5,swirl,no,<100K,yes,5
381,01-07-19,female,100,black,6,swirl,yes,<100K,yes,5
382,01-07-19,male,100,blue,2,no preference,no,,yes,9
383,01-07-19,female,100,red,1,chocolate,yes,<100K,yes,7
384,01-07-19,female,100,silver,8,swirl,no,<100K,yes,4
385,01-07-19,female,100,silver,3,no preference,yes,<100K,yes,9
386,01-07-19,male,100,blue,2,vanilla,yes,,yes,1
387,01-07-19,female,100,red,7,chocolate,yes,<100K,yes,5
388,01-07-19,male,100,white,4,chocolate,yes,,yes,10
389,01-07-19,female,100,no preference,1,specialty,no,<100K,yes,6
390,01-07-19,female,100,red,2,swirl,no,<100K,yes,2
391,01-07-19,male,100,black,0,specialty,yes,,yes,7
392,01-07-19,female,100,white,9,no preference,yes,<100K,yes,4
393,01-07-19,male,100,blue,2,no preference,no,,yes,6
394,01-07-19,female,100,black,10,chocolate,no,<100K,yes,8
395,01-07-19,female,100,silver,5,chocolate,yes,<100K,yes,7
396,01-07-19,male,100,blue,8,specialty,yes,,yes,5
397,01-07-19,female,100,black,8,specialty,yes,<100K,yes,5
398,01-07-19,male,100,black,5,no preference,no,,yes,2
399,01-07-19,female,100,white,1,specialty,no,<100K,yes,4
400,01-07-19,female,100,silver,8,no preference,no,<100K,yes,9
401,01-07-19,female,100,no preference,7,specialty,yes,<100K,yes,6
402,01-07-19,male,100,blue,8,vanilla,no,,yes,1
403,01-07-19,female,100,black,8,swirl,no,<100K,yes,10
404,01-07-19,female,100,silver,7,chocolate,yes,<100K,yes,8
405,01-07-19,female,100,red,8,swirl,no,<100K,yes,6
406,01-07-19,female,100,white,10,specialty,yes,<100K,yes,2
407,01-07-19,female,100,blue,4,specialty,no,<100K,yes,5
408,01-07-19,male,100,black,9,specialty,yes,,yes,6
409,01-07-19,female,100,red,6,chocolate,no,<100K,yes,6
410,01-07-19,male,100,black,6,no preference,no,,yes,7
411,01-07-19,male,100,silver,5,no preference,yes,,yes,9
412,01-07-19,female,100,no preference,10,swirl,no,<100K,yes,4
413,01-07-19,female,100,silver,2,no preference,yes,<100K,yes,6
414,01-07-19,female,100,silver,8,vanilla,yes,<100K,yes,4
415,01-07-19,male,100,no preference,6,vanilla,no,,yes,4
416,01-07-19,female,100,white,4,swirl,no,<100K,yes,6
417,01-07-19,male,100,white,7,specialty,no,,yes,5
418,01-07-19,female,100,black,3,chocolate,yes,<100K,yes,8
419,01-07-19,female,100,white,8,swirl,no,<100K,yes,4
420,01-07-19,female,100,white,5,no preference,yes,<100K,yes,9
421,01-07-19,female,100,white,6,no preference,no,<100K,yes,10
422,01-07-19,female,100,no preference,0,vanilla,yes,<100K,yes,6
423,01-07-19,female,100,black,0,swirl,yes,<100K,yes,1
424,01-07-19,female,100,red,7,specialty,yes,<100K,yes,4
425,01-07-19,female,100,blue,6,specialty,yes,<100K,yes,1
426,01-07-19,male,100,white,9,swirl,yes,,yes,8
427,01-07-19,female,100,white,7,specialty,no,<100K,yes,3
428,01-07-19,male,100,no preference,2,no preference,no,,yes,6
429,01-07-19,female,100,red,4,chocolate,yes,<100K,yes,9
430,01-07-19,male,100,white,1,swirl,no,,yes,2
431,01-07-19,female,100,silver,8,no preference,yes,<100K,yes,9
432,01-07-19,male,100,black,7,chocolate,no,,yes,8
433,01-07-19,male,100,no preference,2,swirl,yes,,yes,4
