Location,Year,FuelType,Transmission,Owner,Efficiency,Engine_cc,Seats,Km,Price
Jaipur,2004,Gasoline,Automatic,Second,11.3,1794,5,"160,000","$2,106 "
Hyderabad,2014,Diesel,Manual,First,12.8,2494,7,"158,793","$18,237 "
Hyderabad,2012,Diesel,Automatic,First,12.6,2982,7,"158,000","$24,554 "
Hyderabad,2000,Diesel,Manual,Second,14.1,2956,7,"158,000","$2,106 "
Hyderabad,2011,Diesel,Manual,First,12.6,2982,7,"157,000","$16,833 "
Pune,2011,Diesel,Manual,Second,13,2494,8,"156,347","$11,231 "
Hyderabad,2010,Diesel,Manual,First,21.4,1364,5,"156,210","$8,409 "
Hyderabad,2009,Diesel,Manual,First,12.8,2494,8,"156,056","$11,933 "
Jaipur,2013,Diesel,Manual,First,19.9,1461,5,"156,000","$5,896 "
Bangalore,2012,Diesel,Manual,Second,9.5,2835,6,"155,566","$12,846 "
Chennai,2007,Diesel,Manual,First,13.1,2499,7,"155,000","$7,721 "
Pune,2006,Gasoline,Manual,Third,15.4,1590,5,"155,000","$1,193 "
Hyderabad,2010,Diesel,Manual,First,13.1,2499,7,"154,000","$11,217 "
Chennai,2015,Diesel,Manual,First,20.8,1248,7,"153,000","$6,739 "
Pune,2008,Gasoline,Automatic,First,12.9,1799,5,"152,633","$4,212 "
Jaipur,2010,Diesel,Manual,First,17.8,1248,5,"152,000","$4,071 "
Hyderabad,2012,Diesel,Automatic,First,11.5,2982,7,"152,000","$23,164 "
Hyderabad,2008,Gasoline,Manual,Second,13.5,1799,5,"152,000","$4,212 "
Delhi,2011,Diesel,Manual,First,11.5,2982,7,"151,000","$16,004 "
Bangalore,2015,Diesel,Manual,First,14.2,2755,7,"150,386","$32,290 "
Delhi,2015,Diesel,Manual,First,25,1396,5,"150,000","$3,510 "
Hyderabad,2015,Diesel,Manual,First,23.6,1364,5,"150,000","$8,423 "
Chennai,2012,Diesel,Manual,First,21.6,1461,5,"150,000","$4,914 "
Chennai,2013,Diesel,Manual,First,20.5,1598,5,"150,000","$7,020 "
Kolkata,2011,Gasoline,Manual,First,18.5,1197,5,"150,000","$3,510 "
Hyderabad,2008,Diesel,Manual,First,18.1,1493,5,"150,000","$4,212 "
Chennai,2016,Diesel,Manual,First,15,2489,9,"150,000","$6,318 "
Mumbai,2005,Diesel,Manual,First,13.1,1493,5,"150,000","$1,193 "
Delhi,2011,Diesel,Manual,First,13,2494,8,"150,000","$9,757 "
Delhi,2006,Gasoline,Manual,First,12.4,1998,8,"150,000","$6,318 "
Chennai,2009,Diesel,Automatic,First,11,2993,5,"150,000","$26,323 "
Pune,2008,Diesel,Manual,Second,28.4,1248,5,"150,000","$3,791 "
Pune,2012,Diesel,Manual,Third,28.4,1248,5,"150,000","$3,159 "
Jaipur,2009,Diesel,Manual,First,11.5,2982,7,"149,706","$15,443 "
Chennai,2012,Diesel,Manual,First,19,1461,5,"149,000","$10,178 "
Jaipur,2011,Diesel,Manual,Second,11.5,2982,7,"148,009","$17,900 "
Kolkata,2017,Diesel,Manual,First,23.4,1248,5,"148,000","$6,669 "
Pune,2012,Diesel,Manual,Second,21.1,1248,5,"148,000","$4,071 "
Bangalore,2011,Diesel,Manual,Second,14.7,2199,7,"148,000","$12,495 "
Kochi,2014,Diesel,Manual,First,22.7,1498,5,"147,898","$6,205 "
Hyderabad,2015,Diesel,Manual,First,12.8,2494,8,"147,848","$18,532 "
Jaipur,2006,Diesel,Manual,Second,13,2494,8,"147,350","$6,949 "
Hyderabad,2009,Diesel,Manual,First,13,2494,7,"147,000","$10,529 "
Hyderabad,2012,Diesel,Manual,First,21.1,1248,5,"146,824","$4,984 "
Pune,2011,Diesel,Manual,First,11.5,2982,7,"146,300","$17,198 "
Kolkata,2016,Gasoline,Manual,Second,19.1,1197,5,"146,000","$4,914 "
Pune,2006,Gasoline,Manual,Second,15.4,1590,5,"146,000","$1,474 "
Hyderabad,2007,Gasoline,Manual,First,15.3,1596,5,"145,277","$2,316 "
Kolkata,2010,Diesel,Manual,First,20.4,1248,5,"145,000","$3,650 "
Jaipur,2006,Gasoline,Manual,First,18.9,998,5,"145,000","$1,614 "
Chennai,2007,Diesel,Manual,First,12.8,2494,8,"145,000","$7,020 "
Hyderabad,2011,Diesel,Manual,First,12.8,2494,8,"144,471","$10,950 "
Bangalore,2010,Diesel,Manual,Third,12.1,2179,8,"144,400","$7,370 "
Jaipur,2010,Diesel,Manual,Second,11.5,2982,7,"144,113","$16,496 "
Jaipur,2015,Diesel,Manual,First,26.6,1248,5,"144,000","$7,370 "
Jaipur,2013,Diesel,Manual,First,20.5,1598,5,"144,000","$9,827 "
Chennai,2011,Diesel,Manual,Second,16,1997,7,"143,354","$8,423 "
Hyderabad,2008,Diesel,Manual,First,22,1582,5,"143,275","$3,650 "
Hyderabad,2011,Diesel,Manual,First,17.8,1399,5,"143,143","$2,948 "
Coimbatore,2012,Diesel,Automatic,First,20,1968,5,"143,017","$9,238 "
Pune,2007,Gasoline,Manual,Second,14.2,1341,5,"143,000","$1,544 "
Hyderabad,2006,Diesel,Manual,First,12.8,2494,7,"142,000","$8,774 "
Pune,2014,Diesel,Manual,Second,19,1461,5,"142,000","$8,423 "
Mumbai,2006,Gasoline,Manual,Second,18.9,998,5,"141,537","$1,474 "
Jaipur,2012,Diesel,Manual,First,20,1399,5,"140,000","$3,524 "
Jaipur,2007,Gasoline,Manual,First,15.3,1150,5,"140,000","$1,264 "
Mumbai,2010,Diesel,Manual,First,14.2,2755,7,"140,000","$15,092 "
Pune,1999,Gasoline,Manual,First,13,1343,5,"140,000","$1,264 "
Pune,2009,Diesel,Manual,Second,17.8,1248,5,"140,000","$3,496 "
Chennai,2007,Diesel,Manual,Second,17.8,1248,5,"140,000","$2,808 "
Hyderabad,2013,Diesel,Manual,Second,15.1,2179,7,"140,000","$12,635 "
Chennai,2001,Gasoline,Manual,Third,20.3,1086,5,"140,000",$983 
Pune,2010,Diesel,Manual,Third,12.8,2494,7,"140,000","$8,774 "
Pune,2009,Diesel,Manual,Second,11.5,2982,7,"138,205","$14,741 "
Pune,2016,Diesel,Manual,First,25.8,1498,5,"138,000","$7,230 "
Delhi,2008,Gasoline,Manual,First,18.2,1061,5,"138,000","$1,685 "
Pune,2008,Diesel,Manual,Second,17.1,1396,5,"138,000","$1,755 "
Pune,2009,Gasoline,Manual,Second,17,1497,5,"138,000","$4,914 "
Hyderabad,2012,Diesel,Manual,First,22.3,1248,5,"137,800","$3,089 "
Kochi,2009,Gasoline,Manual,Second,13.9,1599,5,"137,148","$2,597 "
Pune,2012,Diesel,Automatic,First,18.1,1991,4,"137,008","$6,528 "
Pune,2010,Diesel,Automatic,First,13.5,2987,5,"137,000","$25,972 "
Pune,2007,Gasoline,Manual,Second,15.3,1193,5,"137,000","$1,334 "
Chennai,2009,Diesel,Automatic,Second,13.2,1995,5,"137,000","$12,635 "
Pune,2012,Diesel,Automatic,First,17.2,1968,5,"136,997","$11,933 "
Chennai,2009,Gasoline,Manual,Second,17.9,1086,5,"136,642","$2,176 "
Hyderabad,2011,Diesel,Manual,First,12.8,2494,7,"136,490","$13,758 "
Pune,2014,Gasoline,Manual,First,13.1,1798,5,"136,000","$13,337 "
Chennai,2010,Diesel,Manual,Second,11.5,2982,7,"136,000","$15,443 "
Hyderabad,2014,Diesel,Manual,First,22.7,1498,5,"135,670","$9,196 "
Mumbai,2016,Diesel,Manual,First,24.4,1120,5,"135,000","$5,896 "
Pune,2012,Diesel,Manual,First,19,1461,5,"135,000","$7,581 "
Pune,2010,Diesel,Manual,First,17.8,1248,5,"135,000","$4,352 "
Jaipur,2010,Diesel,Manual,First,13.8,1399,5,"135,000","$2,246 "
Chennai,2009,Gasoline,Automatic,First,12.1,2362,5,"135,000","$6,598 "
Hyderabad,2009,Diesel,Manual,Second,12.8,2494,8,"135,000","$11,512 "
Chennai,2010,Diesel,Manual,Second,11.5,2982,7,"135,000","$15,443 "
Chennai,2004,Gasoline,Automatic,Third,14.4,1997,5,"135,000","$4,212 "
Chennai,2010,Gasoline,Manual,Second,18.9,1061,5,"134,000","$2,316 "
Hyderabad,2014,Diesel,Manual,Second,18,1248,5,"133,944","$4,914 "
Kolkata,2008,Diesel,Manual,First,16.8,1405,5,"133,000",$983 
Mumbai,2006,Diesel,Manual,Second,16.8,1405,5,"133,000","$1,207 "
Hyderabad,2003,Diesel,Manual,First,18.7,1896,5,"132,000","$3,159 "
Bangalore,2013,Gasoline,Manual,First,16.8,1496,5,"132,000","$6,598 "
Hyderabad,2016,Diesel,Manual,First,15,2489,7,"132,000","$7,721 "
Bangalore,2013,Diesel,Manual,First,13.5,2477,7,"132,000","$17,535 "
Mumbai,2012,Diesel,Manual,First,13,2982,7,"131,765","$18,953 "
Pune,2015,Diesel,Manual,First,26.6,1248,5,"131,000","$5,054 "
Hyderabad,2012,Diesel,Manual,First,13,2494,7,"131,000","$13,477 "
Mumbai,2005,Diesel,Automatic,First,11,2987,5,"131,000","$14,039 "
Hyderabad,2008,Diesel,Manual,First,10.5,2609,7,"131,000","$5,054 "
Pune,2010,Diesel,Automatic,First,14.2,2143,5,"130,923","$17,549 "
Coimbatore,2013,Diesel,Manual,First,16,2179,7,"130,790","$12,972 "
Hyderabad,2011,Diesel,Manual,First,19.3,1248,5,"130,002","$5,405 "
Pune,2016,Diesel,Manual,First,25.5,1248,7,"130,000","$9,827 "
Jaipur,2015,Diesel,Manual,First,25.2,1248,5,"130,000","$6,318 "
Mumbai,2015,Diesel,Manual,First,23.4,1248,5,"130,000","$4,563 "
Hyderabad,2013,Diesel,Manual,First,21.6,1461,5,"130,000","$6,669 "
Chennai,2012,Diesel,Manual,First,20.5,1598,5,"130,000","$6,669 "
Jaipur,2011,Diesel,Manual,First,20.3,1248,5,"130,000","$3,089 "
Delhi,2012,Diesel,Manual,First,19.6,1461,5,"130,000","$5,265 "
Hyderabad,2010,Diesel,Manual,First,19.3,1248,5,"130,000","$5,405 "
Hyderabad,2010,Diesel,Manual,First,19.3,1248,5,"130,000","$5,124 "
Mumbai,2011,Diesel,Manual,First,14,2498,8,"130,000","$3,861 "
Hyderabad,2007,Diesel,Manual,First,13.1,2499,7,"130,000","$8,423 "
Jaipur,2010,Diesel,Manual,Second,19.3,1248,5,"130,000","$5,616 "
Pune,2001,Gasoline,Manual,Second,13.2,1495,5,"130,000","$1,053 "
Pune,2010,Diesel,Manual,Second,20,1399,5,"129,986","$4,492 "
Hyderabad,2015,Diesel,Manual,Second,15,2489,7,"129,750","$9,547 "
Chennai,2017,Diesel,Manual,First,25,1396,5,"129,000","$4,212 "
Pune,2017,Diesel,Automatic,First,11,2987,7,"129,000","$78,619 "
Mumbai,2004,Diesel,Manual,First,10.5,2835,6,"129,000","$4,843 "
Jaipur,2013,Diesel,Manual,Third,21.3,1396,5,"129,000","$5,770 "
Chennai,2004,Gasoline,Manual,Third,13.8,1299,5,"129,000","$2,106 "
Jaipur,2008,Diesel,Manual,First,19.1,1396,5,"128,813","$2,106 "
Hyderabad,2017,Diesel,Manual,First,25.8,1498,5,"128,000","$8,845 "
Chennai,2012,Diesel,Manual,First,22.3,1582,5,"128,000","$7,020 "
Mumbai,2009,Gasoline,Automatic,First,10.8,2497,5,"128,000","$9,827 "
Pune,2010,Diesel,Manual,Second,14.4,1995,5,"128,000","$8,704 "
Chennai,2005,Diesel,Manual,Second,12.8,2494,8,"128,000","$5,967 "
Chennai,2011,Diesel,Manual,Third,19.2,1461,5,"128,000","$2,808 "
Chennai,2011,Diesel,Manual,Third,16,2179,7,"128,000","$8,985 "
Hyderabad,2011,Diesel,Manual,First,21.1,1248,5,"127,887","$4,142 "
Hyderabad,2010,Diesel,Manual,Second,19,1248,5,"127,510","$1,965 "
Bangalore,2007,Diesel,Manual,First,12.8,2494,7,"127,079","$9,813 "
Mumbai,2006,Diesel,Manual,First,12.8,2494,8,"127,001","$6,949 "
Pune,2013,Gasoline,Manual,Second,16.8,1497,5,"127,000","$6,318 "
Jaipur,2012,Gasoline,Manual,First,16.8,796,5,"126,000","$2,246 "
Delhi,2016,Gasoline,Manual,First,15.1,1196,7,"126,000","$3,089 "
Chennai,2011,Diesel,Manual,Third,16,2179,7,"126,000","$9,406 "
Pune,2001,Gasoline,Manual,Second,13,1493,5,"125,943","$2,036 "
Hyderabad,2012,Diesel,Manual,First,22.7,1582,5,"125,928","$12,635 "
Pune,2013,Diesel,Manual,First,21.6,1461,5,"125,600","$5,265 "
Hyderabad,2016,Diesel,Manual,First,23,1248,5,"125,000","$6,458 "
Jaipur,2010,Gasoline,Manual,First,19.7,796,5,"125,000","$1,292 "
Kolkata,2011,Gasoline,Manual,First,17,1497,5,"125,000","$4,563 "
Pune,2012,Diesel,Automatic,First,11.5,2982,7,"125,000","$18,953 "
Jaipur,2013,Diesel,Manual,Second,20.5,1598,5,"125,000","$8,774 "
Pune,2003,Gasoline,Manual,Second,18.9,998,5,"125,000","$1,123 "
Pune,2006,Gasoline,Manual,Second,13.5,1799,5,"125,000","$3,229 "
Jaipur,2007,Gasoline,Manual,Third,16.6,1388,5,"125,000","$2,106 "
Chennai,2003,Diesel,Manual,Third,14.8,1998,5,"125,000","$4,212 "
Mumbai,2008,Gasoline,Automatic,Third,11.7,2354,5,"125,000","$3,650 "
Hyderabad,2011,Diesel,Automatic,First,11.7,2993,5,"124,652","$30,872 "
Coimbatore,2010,Diesel,Manual,First,13,2494,8,"124,313","$11,175 "
Chennai,2011,Diesel,Manual,First,23,1396,5,"124,000","$3,229 "
Kolkata,2000,Diesel,Manual,First,13.6,2523,7,"124,000","$2,738 "
Hyderabad,2014,Diesel,Manual,First,19.3,1248,5,"123,900","$7,581 "
Hyderabad,2011,Diesel,Manual,First,23.1,1461,5,"123,880","$4,633 "
Hyderabad,2012,Diesel,Manual,First,15.1,2179,7,"123,600","$11,582 "
Pune,2005,Gasoline,Manual,Second,13.2,1495,5,"123,200","$1,404 "
Delhi,2013,Diesel,Automatic,First,12.6,2982,7,"123,000","$23,164 "
Chennai,2013,Diesel,Manual,Second,17.8,1399,5,"123,000","$6,247 "
Chennai,2013,Diesel,Manual,Second,12.6,2982,7,"123,000","$21,059 "
Jaipur,2005,Gasoline,Manual,Third,13,1493,5,"123,000","$1,544 "
Hyderabad,2014,Diesel,Manual,First,25,1498,5,"122,800","$7,932 "
Hyderabad,2008,Diesel,Manual,First,17.5,1896,5,"122,397","$6,177 "
Hyderabad,2015,Diesel,Automatic,First,19.3,1968,5,"122,086","$18,237 "
Chennai,2009,Gasoline,Manual,Second,17,1497,5,"122,000","$4,914 "
Chennai,2011,Diesel,Manual,Second,12.8,2494,8,"122,000","$15,092 "
Jaipur,2014,Diesel,Manual,Second,12.6,2982,7,"122,000","$22,462 "
Mumbai,2010,Diesel,Manual,Second,11.5,2982,7,"122,000","$14,671 "
Pune,2017,Diesel,Manual,First,23,1248,5,"121,900","$5,265 "
Hyderabad,2010,Diesel,Automatic,First,13.3,1995,5,"121,812","$10,880 "
Kochi,2012,Gasoline,Manual,First,15,1598,5,"121,377","$5,335 "
Coimbatore,2015,Diesel,Manual,First,13,2494,7,"121,374","$20,076 "
Hyderabad,2016,Diesel,Manual,First,13.7,2393,7,"121,362","$22,462 "
Chennai,2011,Diesel,Manual,First,20.6,1498,5,"121,311","$4,071 "
Chennai,2008,Diesel,Manual,Second,24,1396,5,"121,097","$2,667 "
Pune,2017,Diesel,Manual,First,24.5,1248,7,"121,000","$11,231 "
Hyderabad,2006,Diesel,Manual,Second,16.4,1896,5,"121,000","$3,510 "
Pune,2008,Diesel,Automatic,Second,12.1,2967,7,"120,300","$25,270 "
Chennai,2007,Diesel,Manual,Second,13.9,2179,7,"120,203","$4,914 "
Jaipur,2013,Diesel,Manual,First,21.6,1461,5,"120,005","$5,616 "
Bangalore,2016,Diesel,Manual,First,23.2,1248,5,"120,000","$5,124 "
Pune,2012,Diesel,Manual,First,22.9,1248,5,"120,000","$5,265 "
Mumbai,2015,Diesel,Automatic,First,21.2,1498,5,"120,000","$8,072 "
Hyderabad,2013,Diesel,Manual,First,20.8,1248,7,"120,000","$9,827 "
Chennai,2010,Diesel,Manual,First,20,1399,5,"120,000","$3,650 "
Chennai,2013,Diesel,Automatic,First,20,1968,5,"120,000","$9,757 "
Pune,2009,Gasoline,Manual,First,18.9,998,5,"120,000","$2,373 "
Kolkata,2015,Gasoline,Manual,First,18.6,1199,5,"120,000","$3,510 "
Chennai,2011,Diesel,Manual,First,18,1248,5,"120,000","$2,457 "
Delhi,2010,Diesel,Manual,First,17.8,1248,5,"120,000","$2,316 "
Hyderabad,2007,Diesel,Automatic,First,16.7,1995,5,"120,000","$14,741 "
Hyderabad,2015,Diesel,Manual,First,15.4,2179,7,"120,000","$16,847 "
Mumbai,2016,Diesel,Manual,First,15.1,2179,7,"120,000","$16,847 "
Hyderabad,2015,Diesel,Manual,First,14.8,2499,10,"120,000","$7,721 "
Hyderabad,2012,Diesel,Manual,First,12.8,2494,7,"120,000","$16,847 "
Jaipur,2011,Diesel,Manual,Second,22.9,1248,5,"120,000","$4,492 "
Chennai,2012,Diesel,Manual,Second,22.3,1248,5,"120,000","$3,650 "
Chennai,2008,Diesel,Manual,Second,18.1,1493,5,"120,000","$2,808 "
Hyderabad,2010,Diesel,Manual,Second,16.2,1493,5,"120,000","$4,914 "
Chennai,2009,Diesel,Manual,Second,13.9,2179,7,"120,000","$4,212 "
Chennai,2005,Diesel,Manual,Second,12.7,2609,8,"120,000","$4,071 "
Chennai,2006,Gasoline,Automatic,Second,9,2997,5,"120,000","$3,720 "
Kochi,2004,Gasoline,Automatic,First,13,2987,5,"119,859","$9,968 "
Pune,2012,Diesel,Automatic,First,14.8,2143,5,"119,000","$19,641 "
Ahmedabad,2013,Diesel,Manual,First,13,2494,8,"119,000","$11,231 "
Hyderabad,2010,Gasoline,Manual,First,10.2,2354,5,"119,000","$8,353 "
Pune,2008,Gasoline,Manual,Second,17.7,1497,5,"119,000","$3,159 "
Jaipur,2011,Diesel,Manual,Third,13.1,2499,7,"119,000","$9,125 "
Jaipur,2007,Gasoline,Manual,Third,13.1,1997,5,"119,000","$5,489 "
Kochi,2012,Diesel,Manual,Second,21,1461,5,"118,683","$4,478 "
Jaipur,2007,Gasoline,Manual,First,12.9,1598,5,"118,500","$1,755 "
Coimbatore,2014,Diesel,Automatic,First,12.1,2967,7,"118,218","$44,097 "
Pune,2015,Diesel,Manual,First,22.5,1396,5,"118,211","$8,283 "
Hyderabad,2010,Diesel,Manual,First,16.2,1493,5,"118,077","$5,405 "
Jaipur,2007,Gasoline,Manual,First,12.9,1598,5,"118,000","$1,895 "
Hyderabad,2010,Diesel,Manual,First,12.8,2494,8,"118,000","$12,284 "
Pune,2009,Diesel,Manual,First,12.8,2494,8,"118,000","$6,318 "
Mumbai,2014,Diesel,Manual,First,12.8,2494,7,"118,000","$15,092 "
Jaipur,2012,Diesel,Manual,Second,22.3,1582,5,"117,837","$6,669 "
Hyderabad,2012,Diesel,Manual,First,21.6,1461,5,"117,777","$6,669 "
Pune,2012,Diesel,Automatic,Second,11.8,2720,7,"117,236","$19,655 "
Pune,2008,Diesel,Manual,Third,17.8,1399,5,"117,080","$3,159 "
Jaipur,2009,Diesel,Manual,First,18,1248,5,"117,000","$1,544 "
Delhi,2014,Diesel,Manual,First,13,2982,7,"117,000","$21,760 "
Ahmedabad,2014,Diesel,Manual,First,24,1120,5,"116,905","$5,616 "
Coimbatore,2013,Diesel,Manual,First,15.1,2179,7,"116,694","$13,435 "
Pune,2012,Diesel,Manual,First,10.5,2835,6,"116,000","$13,969 "
Hyderabad,2015,Diesel,Manual,Second,23.6,1364,5,"116,000","$8,143 "
Pune,2011,Diesel,Manual,Second,21.4,1364,5,"116,000","$8,072 "
Jaipur,2009,Diesel,Manual,Second,15.8,2148,5,"116,000","$11,933 "
Hyderabad,2013,Diesel,Automatic,Second,12.6,2982,7,"116,000","$27,025 "
Pune,2007,Gasoline,Automatic,Third,10.1,2354,5,"115,800","$5,335 "
Jaipur,2011,Diesel,Automatic,First,20,1968,5,"115,692","$6,318 "
Kolkata,2013,Diesel,Manual,First,25.2,1248,5,"115,195","$5,405 "
Pune,2014,Diesel,Manual,First,28.4,1248,5,"115,000","$6,318 "
Pune,2016,Diesel,Manual,First,25.8,1498,5,"115,000","$6,318 "
Chennai,2012,Diesel,Manual,First,19.3,1968,5,"115,000","$9,757 "
Chennai,2010,Gasoline,Manual,First,18.6,1199,5,"115,000","$2,457 "
Delhi,2012,Diesel,Manual,First,13,2982,7,"115,000","$18,237 "
Pune,2012,Diesel,Manual,Second,20.5,1598,5,"115,000","$6,079 "
Chennai,2010,Gasoline,Manual,Second,17.9,1086,5,"115,000","$2,106 "
Jaipur,2005,Gasoline,Manual,Second,17.3,1061,5,"115,000","$1,390 "
